fecha,sistema,afp,alameda,aporta,aporta_fomenta,armoniza,banguarday,bannuestra,bansander,capital,concorday,cuprum,el_libertador,fomenta,futuro,genera,habitat,invierta,laboral,magister,modelo,norprevision,planvital,planvital,planvital_,previpan,proteccion,provida,qualitas,qualitas,san_cristobal,santa_maria,summa,summa_bansander,union,valora
29707,501693,01,7623,,,,,,,,1905,3536,4163,,,,50421,25127,,,,,15624,,,,,204188,,,44240,126369,18497,,,
29738,759184,01,22218,,,,,,,,4384,4625,9812,,,,67640,53767,,,,,20464,,,,,291327,,,64129,190380,30438,,,
29768,998843,01,45946,,,,,,,,7836,5368,17359,,,,76860,87281,,,,,29263,,,,,363856,,,92011,234744,38319,,,
29799,1167825,01,57910,,,,,,,,11524,6444,30072,,,,81140,105615,,,,,31896,,,,,415136,,,120877,260680,46531,,,
29830,1300426,01,69145,,,,,,,,13420,7710,33872,,,,87426,119385,,1742,,,35070,,,,,454655,,,145126,280081,52794,,,
29860,1425005,01,77787,,,,,,,,16051,8452,34630,,,,89753,131526,,4268,,,41177,,,,,477912,,,172715,310780,59954,,,
29891,1509098,01,85237,,,,,,,,18692,9734,33938,,,,91199,138835,,7053,,,50827,,,,,498632,,,188715,321072,65164,,,
29921,1604908,01,91450,,,,,,,,21430,11074,33584,,,,91676,145290,,8700,,,55773,,,,,527482,,,220365,327849,70235,,,
29952,1636137,01,92048,,,,,,,,23733,12148,33714,,,,93704,152276,,9713,,,57579,,,,,527831,,,228648,333422,71321,,,
29983,1625574,01,94525,,,,,,,,22498,12077,34046,,,,95336,157334,,10359,,,54786,,,,,495346,,,239903,336434,72930,,,
30011,1628394,01,97854,,,,,,,,23803,13213,34046,,,,97783,160400,,11643,,,60567,,,,,504690,,,214199,338147,72049,,,
30042,1579866,01,113352,,,,,,,,24124,15148,22290,,,,98535,149755,,10097,,,58471,,,,,508562,,,163576,341104,74852,,,
30072,1614946,01,116600,,,,,,,,24674,16891,22003,,,,101341,151019,,10734,,,62868,,,,,515825,,,170319,341044,81628,,,
30103,1644274,01,123367,,,,,,,,26599,17600,23112,,,,104770,148533,,11999,,,69115,,,,,520446,,,168841,343103,86789,,,
30133,1671229,01,129529,,,,,,,,28009,19099,23809,,,,106586,146753,,12207,,,67957,,,,,529298,,,171931,344631,91420,,,
30164,1684171,01,135315,,,,,,,,28656,20577,24629,,,,110609,147388,,13387,,,67009,,,,,535877,,,167579,335393,97752,,,
30195,1698461,01,140771,,,,,,,,29989,21543,25792,,,,112546,152016,,14744,,,67817,,,,,534822,,,165532,332425,100464,,,
30225,1705901,01,142743,,,,,,,,30449,21774,26291,,,,114007,141252,,15580,,,68423,,,,,540262,,,166246,334737,104137,,,
30256,1724143,01,147131,,,,,,,,31821,22216,26576,,,,116464,142882,,16445,,,68854,,,,,545595,,,165236,334263,106660,,,
30286,1741002,01,150781,,,,,,,,32605,22920,26977,,,,118593,144396,,16501,,,70590,,,,,548546,,,165704,334601,108788,,,
30317,1750223,01,153525,,,,,,,,33268,23232,27174,,,,120734,146320,,17356,,,70763,,,,,547010,,,165104,333923,111814,,,
30348,1761149,01,155108,,,,,,,,34125,23758,27616,,,,122673,147120,,18133,,,69868,,,,,549074,,,164186,333131,116357,,,
30376,1780589,01,158013,,,,,,,,35185,23956,28610,,,,125161,149817,,19347,,,69476,,,,,551154,,,164904,334197,120769,,,
30407,1804035,01,159858,,,,,,,,36655,24379,29723,,,,128669,152004,,20437,,,70992,,,,,554387,,,166730,335146,125055,,,
30437,0,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30468,0,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30498,0,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30529,0,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30560,0,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30590,0,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
