year,quintil,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1990,I,48.37,42.41,43.97,86.34,55.55,54.21,53.56,58.63,12.39,89.85,50.66,3.99,17.75,101.25,69.33,4.53,7.33,92.15,68.43,31.72,42.23,22.09,32.9,57.77,71.59,,78.6,14.83,47.96,19.51,5.24,4.75,84.75,39,3.46,,,,,,,,31282.7,33595.26,26129.62
1992,I,45.09,40.73,55.06,89.39,57.13,64.4,59.19,60.16,13.76,89.2,45.98,5.34,21.34,102.33,64.86,6.76,7.46,92.24,66.27,31.92,42.57,14.78,36.28,57.43,76.63,51.83,82.82,14.68,47.36,18.96,5.52,4.61,82.99,57.83,5.98,,,,,,,,49794.36,53350.06,40690.42
1994,I,40.97,49.12,56.63,90.86,58.5,66.68,60.34,56.85,15.81,89.52,45.79,6.53,22.83,102.93,63.12,8.16,7.29,91.81,65.72,31.44,43.3,17.63,35.67,56.7,58.69,62.02,76.95,13.75,45.57,18.02,6.56,4.52,85.06,49.38,6.35,,,,,,,,61840.67,65977.72,52394.96
1996,I,37.97,54.49,57.1,90.44,57.1,69.26,64.36,57.3,16.62,90.3,47,6.59,23.89,104.15,64.37,7.47,7.36,90.86,67.78,32.61,44.09,15.6,37.21,55.91,60.32,51.09,83.64,12.96,45.92,17.43,6.47,4.54,84.09,60.29,10.34,,,,,91.92,,5.59,77155.79,83973.38,63147.01
1998,I,38.95,57.14,62.09,92.81,62.09,72.48,68.74,56.15,18.67,92,49.71,6.2,25.01,105.03,68.88,7.37,7.4,90.38,68.51,33.41,44.51,27.67,32.2,55.49,54.97,47.36,81.96,11.68,44.74,16.72,7.19,4.55,86.08,59.52,10.45,,,,,,,,86321.98,96502.44,78060.78
2000,I,37.35,60.6,69.12,95.66,69.12,79.72,69.08,57.11,20.17,92.01,54.08,7.04,27.48,105.46,73.92,8.29,8.01,93.19,66.56,34.58,47.73,26.04,35.3,52.27,55.01,45.73,80.36,11.1,44.23,17.32,5.62,4.63,86.81,52.29,13.02,7.22,0.58,2.38,24.06,92.58,44.54,5.88,101234.79,110651.84,86613.85
2003,I,30.08,58.46,71.36,97,71.36,83.6,70.47,52.13,25.44,93.13,61.5,10.01,32.44,107.7,83.5,12.37,8.09,91.77,63.52,35.27,44.43,25.85,32.95,55.57,58.23,47.42,79.39,10.28,42.1,16.4,8.64,4.37,90.87,50.34,9.64,19.76,1.21,6.13,30.61,90.49,53.43,4.84,104905.56,118562.31,92612.22
2006,I,24.29,61.87,79.68,98.4,79.68,89.17,67.82,46.66,32.29,91.64,63.04,13.63,41.16,106.93,81.56,17.3,8.25,91.8,58.37,34.36,42.51,19.77,34.11,57.49,62.58,51.85,80.09,9.15,39.29,15.63,11.68,4.19,92.34,47.44,8.62,35.94,4.39,13.68,31.06,89.94,79.51,8.82,127667.5,145576.25,107783.09
2009,I,17.57,67.48,85.7,98.99,85.7,92.99,66.34,42.15,32.28,91.68,65.38,16.57,40.05,106.17,86.46,19.89,8.37,92.61,50.97,31.86,38.33,27.63,27.74,61.67,63.96,46.25,79.37,9.24,35.68,16.89,15.14,3.83,93.18,49.36,11.56,49.78,10.15,24.49,29.08,89.39,85.43,10.45,130939.89,172443.95,145521.93
1990,II,34.98,53.24,58.3,91.44,67.88,67.12,58.67,55.68,12.72,90.66,55.73,6.28,18.59,102.56,76.4,7.43,7.9,92.83,62.1,27.09,47.61,11.58,42.1,52.39,78.4,,78.51,11.59,38.44,22.95,8.45,4.4,77.96,38.45,5.55,,,,,,,,61633.52,63267.46,37861.07
