year,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados,indice_de_gini__ingreso_autonomo_,indice_de_gini__ingreso_monetario_
1990,R,30.69,40.61,16.36,63.45,19,78.13,50.85,56.52,5.44,88.21,33.23,2.12,8.76,100.01,43.58,2.46,6.23,14.24,75.29,41.49,52.39,8.68,47.84,47.61,84.82,,75.65,10.69,36.06,21.54,10.97,4.09,82.52,35.52,3.39,38.8,32.91,32.95,,,,,,,,116747.95,118251.5,59039.28,0.60103,0.59237
1992,R,30.17,38.01,19.38,70.32,20.46,84.17,60.23,56.77,7.53,88.4,31.67,2.16,13.19,103.37,44.32,2.63,6.23,13.26,73.17,44.86,54.78,5.95,51.52,45.22,86.46,64.67,76.16,10.53,36.41,20.76,10.85,4.07,78.8,52.29,5.08,33.86,28.81,28.82,,,,,,,,145330.04,147976.01,74316.18,0.52378,0.51199
1994,R,24.65,46.54,24.09,76.63,25.13,87.69,63.04,57.4,9.56,89.44,34.87,3.79,14.51,102.8,47.46,4.18,6.43,12.18,74.93,46.19,55.34,6.81,51.57,44.66,79.34,75.29,76.27,10.41,35.2,20.12,11.75,3.92,83.64,48.13,6.37,30.99,25.65,26.13,,,,,,,,165762.42,169348.38,91504.13,0.52107,0.50827
1996,R,24.38,46.89,21.01,74.94,21.01,89.76,64.8,54.8,9.96,89.73,43.25,5.1,15.9,103.66,59.84,5.8,6.33,13.63,69.68,50.66,55.75,5.95,52.43,44.25,78.78,68.13,77.28,9.35,34.99,19.12,12.36,4.14,82.35,56.19,9.65,30.35,25.86,25.8,,,,14.24,,,6.6,199402.66,206446.93,102623.97,0.51737,0.49948
1998,R,24.43,49.15,24.64,82.46,24.64,90.26,67.73,55.33,12.6,92.26,46.28,5.78,17.79,106.16,64.44,6.54,6.47,14.27,73.7,54.76,56.9,10.06,51.18,43.1,77.49,66.91,77.16,8.23,34.36,18.33,12.7,4.07,83.2,56.17,9.26,27.47,22.63,23.19,,,,,,,,232499.33,241900.52,133749.02,0.53031,0.50283
2000,R,21.41,50.63,31.83,86.33,31.83,93.32,67.33,55.76,13.27,92.74,50.12,6.79,18.67,107.75,70.76,7.82,6.72,12.19,69.62,56.66,56.94,10.8,50.79,43.06,77.72,66,77.02,7.9,33.02,17.97,13.53,3.93,85.64,52.39,12.12,23.73,19.23,19.58,9.03,0.82,2.26,11.58,18.36,37.68,6.78,265837.88,276436.46,143982.58,0.53881,0.51996
2003,R,16.59,53.33,41.06,93.28,41.06,94.55,74.82,55.8,18.96,93.24,59.04,7.81,26.26,107.97,81,9.81,7.12,11.71,65.83,59.9,58.13,10.1,52.26,41.87,78,65.19,76.92,7.16,31.62,17.21,14.08,3.8,88.94,53.45,10.96,19.94,16.37,16.52,24.17,1.34,4.82,15.27,25.6,44.97,4.16,295891.24,309376.48,168939.81,0.54671,0.5178
2006,R,12.98,56.87,54.58,96.39,54.58,96.33,71.18,54.5,24.57,93.59,66.54,11.29,31.45,107.74,87.46,14.18,7.58,10.89,56.2,62.09,58.46,7.6,54.02,41.54,79.25,66.49,77.32,6.61,29.32,16.2,15.86,3.64,91.12,48.84,10.2,12.26,10.03,10.39,43.06,2.91,10.31,15.61,24.06,70.29,7.67,379799.69,395330.81,210171.93,0.54493,0.51542
2009,R,10.25,59.45,66.03,97.86,66.03,97.47,69.64,54.71,25.88,93.72,67.78,15.43,32.18,107.97,88.83,18.27,7.94,9.38,50.71,61.93,56.74,10.49,50.79,43.26,81.36,64.38,77.4,6.77,27.56,16.81,17.15,3.46,91.25,53.46,12.37,12.93,10.94,11.36,59.11,7.15,17.86,16.83,22.55,79.6,8.97,426584.37,459757.05,262165.72,0.53365,0.47756
1990,U,22.94,67.86,78.47,98.62,86.65,73.97,63.62,55.55,18.19,90.83,65.51,14.8,25.13,102.02,89.74,17.81,9.59,3.41,39.62,56,50.18,6.46,46.94,49.82,65.94,,68.6,10.3,34.09,22.97,9.9,4.04,64.15,40.14,5.26,38.55,33.36,34.21,,,,,,,,159596.3,160942.67,86146.62,0.55815,0.55243
