year,zona,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1990, U,H,25.04,68.37,78.59,98.69,86.88,84.08,62.37,70.27,25.18,102.69,89.53,20.10,18.38,90.91,64.50,16.38,9.86,2.90,39.36,57.39,72.15,8.09,66.32,27.85,86.74,,26.69,10.94,36.14,22.81,8.94,4.24,62.33,,84.24,38.13,33.45,33.27,,,,,,,,174485.40,175866.96,100113.94
1992, U,H,22.15,63.42,85.39,99.14,86.77,90.27,63.74,71.37,28.42,102.90,89.09,20.32,20.16,90.02,61.22,15.72,9.86,2.74,37.09,57.87,35.22,9.74,31.79,64.78,81.70,,19.92,9.72,32.23,23.12,10.77,3.29,65.81,40.14,84.84,38.93,33.03,36.78,,,,,,,,104971.80,106189.02,60984.94
1994, U,H,19.74,74.00,87.80,99.60,88.87,92.23,64.29,70.00,31.45,104.52,85.82,27.96,24.06,91.43,61.54,21.77,9.94,2.54,43.26,60.11,80.07,6.22,75.09,19.93,64.98,,33.18,10.79,35.88,21.54,10.99,4.20,81.55,,83.77,36.70,33.08,32.03,,,,,,,,121770.60,123313.83,62684.00
1996, U,H,19.27,78.92,89.72,99.46,89.72,94.18,67.51,72.03,34.59,103.78,85.55,32.12,26.06,91.89,63.03,24.79,10.30,2.64,34.99,63.67,17.40,7.68,16.07,82.60,71.31,,22.09,10.59,36.27,21.53,10.95,3.46,83.57,35.52,84.66,41.11,31.91,36.82,,,,,,,,85923.58,87183.67,41125.19
1998, U,H,17.78,80.61,91.73,99.71,91.73,95.10,69.04,71.22,34.47,103.36,88.73,32.86,26.03,91.68,64.64,23.27,10.44,2.61,37.13,64.28,75.24,4.98,71.49,24.76,87.38,66.28,26.00,10.70,35.61,22.21,8.91,4.11,57.14,,80.86,32.36,27.93,27.94,,,,,,,,270622.42,272534.47,154734.65
2000, U,H,15.78,82.06,93.95,99.81,93.95,96.81,69.50,70.67,38.19,104.04,92.00,36.35,29.04,92.03,66.15,25.51,10.67,2.31,35.69,67.21,36.83,7.68,34.00,63.17,85.07,61.71,19.77,9.52,31.64,22.48,11.11,3.23,61.15,59.23,80.99,32.95,27.32,29.69,,,,,,,,165961.21,167416.61,95988.49
2003, U,H,13.77,80.69,94.67,99.69,94.67,97.36,68.85,68.53,38.80,105.77,95.47,43.40,31.22,93.39,70.76,29.51,10.85,2.45,30.71,68.39,78.72,2.85,76.48,21.28,72.42,43.43,32.77,10.54,36.61,21.05,10.78,4.19,77.57,,80.84,32.19,29.21,28.63,,,,,,,,151645.12,154292.56,77398.10
2006, U,H,11.61,80.65,96.74,99.84,96.74,98.37,68.55,65.91,47.81,105.74,93.96,41.64,38.62,92.18,70.14,29.20,10.74,2.52,23.39,69.38,19.15,5.48,18.10,80.85,72.77,43.41,23.11,10.52,36.19,20.44,10.93,3.40,80.12,52.29,77.42,35.67,26.61,29.56,,,,,,,,110200.37,112838.07,60992.01
2009, U,H,9.45,83.74,97.88,99.85,97.88,99.02,67.81,64.85,46.25,107.20,91.71,41.94,38.69,92.91,68.79,29.96,10.96,2.33,22.08,68.60,74.75,5.91,70.34,25.25,81.93,77.52,25.71,10.06,34.42,21.91,9.22,4.08,57.68,,87.14,26.60,22.77,22.74,,,,,,,,353139.34,340618.06,208064.82
1990, U,M,15.21,65.99,78.02,98.36,85.79,84.16,68.19,1.51,25.07,101.34,89.96,15.71,18.00,90.76,66.53,13.36,9.36,3.85,39.89,54.62,38.08,8.39,34.88,61.92,75.21,71.29,20.17,8.85,30.86,21.45,11.69,3.18,61.41,51.97,86.73,27.41,23.44,26.53,,,,,,,,243052.62,244760.54,137915.07
1992, U,M,14.26,60.31,86.11,98.99,87.28,90.82,69.11,3.06,31.08,102.78,92.93,16.23,22.27,90.35,63.31,13.61,9.36,3.88,36.97,56.61,79.47,4.69,75.74,20.53,58.70,57.81,32.70,10.64,35.44,19.66,11.79,4.04,82.52,,88.09,29.77,25.97,25.71,,,,,,,,174840.60,178404.96,93405.56
1994, U,M,12.44,71.61,90.09,99.28,91.15,93.74,71.19,4.47,32.16,102.66,89.13,23.11,24.28,90.92,65.23,19.14,9.49,3.43,42.30,58.71,19.86,10.28,17.82,80.14,53.66,55.63,22.82,10.17,34.95,20.60,11.71,3.28,84.80,48.13,86.51,32.26,23.94,27.66,,,,,,,,116595.54,120298.48,83965.56
1996, U,M,11.06,77.85,92.35,99.33,92.35,95.61,71.48,9.82,36.28,102.22,90.05,25.95,26.28,91.11,67.87,22.11,9.77,3.84,36.93,62.86,74.49,5.14,70.66,25.51,81.33,69.83,24.62,9.56,35.24,20.69,8.73,4.12,52.64,,86.23,21.77,18.54,18.49,,,,97.07,,,3.87,467239.36,470482.35,264763.64
1998, U,M,12.56,78.00,92.61,99.49,92.61,95.18,74.15,7.40,35.40,102.78,93.13,28.62,27.32,92.82,68.75,23.11,10.01,3.34,35.77,63.59,39.00,7.35,36.13,61.00,74.83,65.16,19.37,8.46,31.92,19.83,11.46,3.24,57.98,64.05,84.28,22.13,19.10,20.63,,,,97.30,,,3.93,319809.07,322954.84,173919.61
2000, U,M,11.31,79.48,95.15,99.75,95.15,97.24,73.21,9.68,37.35,104.31,93.82,31.33,28.51,92.40,67.95,22.78,10.18,2.87,33.58,65.59,75.59,3.43,72.99,24.41,59.68,41.52,34.16,9.22,34.64,19.29,12.19,4.24,80.71,,85.28,28.99,26.37,25.73,,,,85.70,,,7.02,208555.60,215438.88,108225.04
2003, U,M,10.01,77.07,95.28,99.70,95.28,97.58,71.65,11.94,39.30,105.25,98.56,39.13,31.66,93.86,73.70,27.34,10.41,3.11,31.32,67.30,20.70,6.76,19.30,79.30,60.73,44.04,22.29,9.48,35.37,18.94,12.55,3.53,84.14,56.19,80.89,31.82,22.97,26.03,,,,85.56,,,6.15,147900.96,155851.09,81116.01
2006, U,M,9.60,76.86,96.86,99.75,96.86,98.43,69.60,15.37,48.34,104.50,97.34,40.68,38.73,92.33,74.61,29.59,10.32,3.15,23.02,68.86,74.52,9.34,67.56,25.48,80.16,68.62,25.21,9.47,35.42,20.38,8.65,4.06,55.33,,85.29,20.59,16.89,16.89,,,,,,,,552781.91,556415.31,320853.50
2009, U,M,7.93,81.09,97.61,99.91,97.61,98.85,65.78,15.55,47.43,104.70,99.78,42.86,39.56,93.34,73.69,31.59,10.56,2.88,20.55,68.09,41.27,11.20,36.65,58.73,73.67,64.13,18.89,7.99,31.01,19.99,11.24,3.25,60.64,64.18,84.58,20.80,17.29,19.74,,,,,,,,352592.69,356148.24,212494.72
