year,region,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados,indice_de_gini__ingreso_autonomo_,indice_de_gini__ingreso_monetario_
1990,I,20.77,56.36,78.81,96.59,93.18,79.71,56.23,53.31,25.74,91.78,75.31,12.74,32.84,102.01,111.26,15.63,10.01,2.12,39.41,62.27,53.22,8.54,48.67,46.78,89.4,,70.65,10.56,36.49,21.86,7.78,4.12,57.55,46.58,5.15,28.32,24.19,24.53,,,,,,,,194358.12,195700.88,105589.52,0.55006,0.54523
1992,I,18.45,54.5,90.37,98.2,92.06,91.67,56.19,56.11,25.52,88.14,68.63,15.52,36.58,99.49,98.73,18.19,10.01,1.74,32.12,62.06,54.06,3.84,51.98,45.94,89.6,69.88,74.75,10.46,35.63,20.19,8.61,4.02,53.44,67.72,5.26,26.71,22.77,22.83,,,,,,,,261326.62,262752.31,142489.39,0.52695,0.52291
1994,I,11.03,62.58,93.5,98,94.18,94.08,59.27,53.08,27.97,93.14,70.11,24.44,33.75,103.66,96.34,28.92,10.43,2.43,52.41,64.22,55.1,8.03,50.68,44.9,80.81,80.4,73.91,10.08,33.96,19.68,10.23,3.8,51.93,55.81,6.46,22.24,19.32,19.5,,,,,,,,302000.79,303873.99,174535.6,0.52124,0.51676
1996,I,19.07,65.65,93.31,98.86,93.31,95.51,59.3,56.25,31.19,92.97,65.05,27.14,38.21,108.67,92.62,33.9,10.56,1.34,27.15,65.98,55.31,5.58,52.22,44.69,85.69,67.85,70.19,10.94,36.87,21.52,6.62,4.1,51.32,66.21,5.2,21.38,18.62,18.4,,,,89.78,,,4.05,389788.41,392551.22,219356.85,0.50276,0.49783
1998,I,17.45,62.61,90.91,99.23,90.91,92.32,62.7,56.62,24.77,90.34,74.13,22.49,36.25,101.35,96.09,26.34,10.33,1.67,30,66.45,55.63,8.47,50.92,44.37,77.19,63.45,71.28,8.67,36.58,19.86,7.42,3.9,48.65,71.44,8.58,15.62,12.46,13.46,,,,,,,,450633.46,453511.61,253429.39,0.48984,0.48482
2000,I,19.04,62.45,91.76,99.07,91.76,93.27,68.38,48.38,30.36,93.78,69.12,16.91,36.79,105.19,95.61,28.72,10.36,2.05,25.06,62,58.99,11.26,52.35,41.01,75.67,60.77,69.59,10.03,32.24,21.76,10.37,4.14,60.33,53.27,13.08,20.84,16.78,17.26,20.57,7.72,15.27,85.25,36.75,57.05,7.08,507931.48,512318.51,249146.52,0.54091,0.53445
2003,I,14.6,66.22,92.07,98.17,92.07,94.27,67.03,46.84,33.16,95.55,74.28,27.91,36.02,105.88,99.22,39.87,10.8,1.83,19.77,66.03,57.59,10.45,51.57,42.41,74.43,60.67,68.92,9.59,33.72,20.89,8.79,4.03,66.97,48.9,9.64,18.46,14.85,16.54,38.54,11.51,27.01,86.57,47.94,61.68,2.56,515670.44,519983.03,273617.99,0.4954,0.4889
2006,I,14.93,66.69,96.4,99.44,96.4,97.12,60.42,48,45.06,93.56,73.69,18.71,50.19,105.77,103.38,25.82,10.45,1.45,4.46,65.26,54.38,9.71,49.1,45.62,80.21,58.62,64.65,8.7,31,20.24,11.86,3.98,65.53,47.98,6.69,11.75,9,9.69,51.83,21.64,35.1,85.67,47.75,91.84,11.8,571244.66,575269.81,271690.37,0.43933,0.43462
2009,I,13.7,72.09,95.47,98.94,95.47,96.65,61.22,44.74,44.05,91.73,66.71,23.71,50.69,106.8,96.53,32.84,10.71,2.2,4.95,69.59,54.96,6.13,51.59,45.04,85.71,46.9,63.06,8.89,32.68,19.84,9.9,3.78,76.06,55.54,11.77,15.83,11.6,13.72,62.51,32.94,43.78,87.4,52.28,93.79,8.36,649240.68,666913.21,377364.43,0.44791,0.43003
1990,II,24.57,56.96,69,98.82,81.18,79.24,54.09,54.73,13.81,90.24,68.49,13.74,20.13,102.17,89.26,16.12,9.77,2.23,12.04,54.72,50.47,7.47,46.7,49.53,89.02,,78.16,11.54,36.99,23.27,7.17,4.05,58.69,40.65,4.49,34.06,27.25,29.4,,,,,,,,173677.63,174849.75,101690,0.52982,0.52605
1992,II,25.58,50.56,82.71,98.86,85.47,86.17,56.62,52.54,15.88,86.52,59.97,9.22,25.81,103.01,90.48,12.3,9.6,2.06,12.04,52.34,53.05,7.41,49.11,46.95,88.82,68.88,79.13,12.41,36.33,23.33,6.98,4.12,57.97,58.94,3.71,31.76,27.53,28.2,,,,,,,,208359.07,210131.24,119856.05,0.46517,0.45988
1994,II,18.4,63.56,90.8,98.83,91.79,93.81,58.31,52.31,25.13,89.85,65.23,13.43,33.79,101.17,90.43,18.96,9.73,2.62,61.79,59.33,54.41,6.12,51.08,45.59,82.41,75.46,77.1,10.97,36.33,21.11,8.96,4.12,58.46,50.38,9.56,25.4,19.83,21.76,,,,,,,,309708.52,311269.07,171002.55,0.51741,0.51408
1996,II,22.41,74.3,95.43,99.59,95.43,97.19,63.38,61.86,22,93.25,66.93,22.05,30.01,106.45,95.23,27.59,10.31,1.21,9.05,63.14,50.92,4.49,48.63,49.08,82.82,68.58,79.83,9.78,34.85,20.12,9.13,4.07,44.38,64.07,9.59,16.37,13.38,13.35,,,,97.35,,,1.38,465462.43,467726.08,270497.29,0.49157,0.48788
1998,II,19.61,74.8,95.04,99.25,95.04,95.24,60.23,55.63,25.93,92.26,61.78,24.77,34.03,102.4,85.42,33.13,10.46,1.33,10.83,63.58,52.3,6.57,48.86,47.7,85.73,70.89,76.79,9.84,36.38,20.15,8.42,3.95,48.89,60.61,7.56,12.66,11.67,11.57,,,,,,,,530660.09,533881.96,318331.4,0.52583,0.52156
2000,II,11.22,85.55,98.13,99.61,98.13,98.93,64.34,53.66,30.06,90.5,68.88,24.16,40.56,102.53,97.76,31.99,10.93,1.09,9.71,64.49,51.16,11.44,45.31,48.84,84.53,75.59,79.92,9.28,33.49,21.64,8.71,4,47.77,51.74,7.64,13.44,11.35,12.37,26.18,14.41,25.89,97.74,40.8,62.62,3.67,628975.08,632066.04,395029.15,0.53116,0.52681
2003,II,15.87,76.34,95.74,99.32,95.74,97.82,63.2,48.71,28.48,95.88,70.02,27.25,30.74,111.27,96.58,35.49,10.92,0.7,8.17,64.03,56.97,8.47,52.14,43.03,84.51,69.2,78.6,8.98,31.99,21.11,8.68,4.17,61.03,46.79,10.94,11.22,9.7,9.07,42.3,16.69,34.62,95.47,55.44,52.43,4.54,573278.81,577772.71,311081.12,0.45822,0.45265
2006,II,13.06,77.71,98.62,99.86,98.62,98.82,63.04,47.16,35.09,91.86,66.55,30.63,43.03,104.66,100.18,44.36,10.69,1.4,8.33,68.07,59.5,6.12,55.86,40.5,82.3,71.31,80.3,7.73,30.09,22.1,11.75,4.13,69.22,44.36,9.15,7.31,5.52,5.56,60.7,30.56,43.55,92.4,52.71,88.36,7.85,728541,734048.62,313399.43,0.45924,0.45391
2009,II,12.35,79.32,98.4,99.87,98.4,98.69,65.53,41.06,31.82,94.2,70.08,25.4,38.75,105.08,90.75,34.3,10.64,1.63,10.36,65.07,54.99,5.8,51.8,45.01,86.15,71.76,82.42,9.11,31.22,18.86,13.24,4.25,71.74,56.15,13.28,8,7.8,8.13,70.36,46.22,59.71,94.3,56.48,92.44,7.29,852785.89,868689.72,422639.65,0.41768,0.40575
1990,III,24.53,44.47,68.53,96.36,78.53,74.09,55.09,52.58,18.76,90.1,63.29,6.44,26.03,101.01,91.21,6.76,8.86,5.21,69.07,56.5,51.04,6.89,47.52,48.96,85.58,,75.06,11.7,38.41,21.07,8.76,4.17,74.48,43.51,5.2,34.17,28.23,29.39,,,,,,,,172022.16,173433.95,92914.91,0.53916,0.53405
1992,III,18.15,44.38,81.9,98.19,82.78,85.99,58.67,53.8,19.34,85.97,53.28,9.65,30.61,104.12,78.5,12.72,9.2,3.71,65.47,57.47,51.14,4.89,48.64,48.86,86.41,67.95,75.78,10.06,34.31,20.28,10.24,3.73,61.38,66.24,5.35,29.89,24.4,24.87,,,,,,,,222194.24,223734.89,131780.96,0.52607,0.52045
1994,III,19.28,53.93,85.99,97.41,86.54,89.36,58.74,52.17,22.2,89.02,57.6,8.78,31.82,106.02,81.04,11.62,9.14,3.42,59.63,56.97,52.21,4.03,50.1,47.79,82.23,76.61,73.04,10.2,35.08,20.44,9.16,3.96,62.97,48.52,4.91,32.51,27.17,29.33,,,,,,,,228047.85,230132.57,135160.1,0.48123,0.4749
1996,III,22.34,57.28,89.76,98.55,89.76,91.8,65.12,58.95,19.57,93.52,54.19,18.77,26.21,108.21,78.54,23.13,9.56,4.17,58.68,61.96,52.77,5.48,49.88,47.23,81.78,68.55,72.77,11.19,38.13,17.53,7.63,3.96,57.6,59.63,6.64,26.44,21.83,22.46,,,,97.62,,,4.45,413963.19,417483.53,257355.71,0.58205,0.57477
