year,region,quintil,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1990,I,I,43.45,27.84,63.34,95.24,89.62,65.41,48.07,50.76,22.68,94.77,75.35,27.77,103.77,117.71,8.37,3.78,87.42,39.36,43.05,22.42,33.4,56.95,80.1,,79.56975228,13.53079818,45.9291828,22.69375491,4.700012405,4.662489557,80.98260911,43.56852497,1.141970957,,,,,,,,42299.76852,44583.22357,34608.78489
1992,I,I,41.6,36.48,84.84,98.4,88.23,85.46,50.86,60.12,22.25,90.43,65.34,29.97,101.32,91.47,8.86,2.39,80.51,37.06,41.69,12.71,36.39,58.31,88.96,65.84609987,90.16830528,14.10379504,47.23457476,19.17353075,4.934559604,4.63605482,77.050822,67.23689909,9.890736342,,,,,,,,59747.86324,62687.37988,49686.65614
1994,I,I,24.04,31.19,84.46,94.73,86.45,84.91,56.31,49.57,26.86,92.71,56.05,29.42,106.06,83.18,8.87,6.7,75.15,32.43,48.79,21.47,38.31,51.21,55.07,68.15833887,66.03511339,13.88868429,42.76472466,20.29412487,6.66691218,4.33101175,79.88391457,50.09114458,10.51364366,,,,,,,,69118.78223,72844.0126,64801.6788
1996,I,I,35.09,48.38,84.26,97.4,84.26,89.48,49.92,58.38,27.23,90.59,55.44,36.08,108.05,63.89,9.38,3.48,69.79,38.78,47.29,18.07,38.75,52.71,70.15,55.32488987,77.87633046,15.88861589,51.34433134,18.11044811,3.319293319,4.58628461,79.9524628,65.94815825,7.481559536,,,,19.35730784,,,5.014234302,89129.3841,93331.80355,79346.88851
1998,I,I,40.43,30.68,85.18,98.41,85.18,87.65,61.53,54.29,27.39,89.38,53.21,36.11,105.35,83.81,8.64,3.17,71.46,37.26,44.82,21.81,35.04,55.18,56.76,59.07442952,87.95149415,12.79522422,47.17933104,16.39228394,4.650732895,4.483424337,76.87975527,62.52272945,11.2251385,,,,,,,,108292.1948,114261.1239,91495.1747
2000,I,I,40.62,43.61,83.46,97.35,83.46,86.15,68.84,41.72,23.6,93.9,68.7,28.16,104.8,83.81,9,3.97,63.69,32.89,49.78,25.34,37.17,50.22,56.23,37.77548494,73.10103245,15.13120311,44.45766843,18.6893019,6.622995773,5.177363699,75.75048168,49.1359266,14.06965799,9.951257323,0.0269324,0.214423336,21.61843005,22.36641316,56.09607278,8.131512979,129149.1449,137713.3225,98207.78101
2003,I,I,38,41.65,85.4,95.92,85.4,88.65,63.1,43.23,23.96,95.1,74.12,25.5,108.01,88.86,9.31,3.17,55.87,35.27,51.23,25.32,38.26,48.77,55.44,43.84019504,76.55704383,13.44045624,45.15538601,17.01057742,6.902298518,4.791635894,84.58716707,43.91801075,11.65404544,19.58618957, ,5.834140436,16.67675545,31.06701877,61.11009006,3.302663438,142995.0852,151961.9809,101373.2973
2006,I,I,30.88,55.43,92.46,98.32,92.46,93.59,68.26,42.43,40.43,96.08,62.86,43.97,105.52,93.87,9.68,2.81,39.48,36.89,43.62,16.62,36.37,56.38,64.99,49.6612007,67.74785211,13.70236774,42.2894315,18.39622642,9.457084721,4.737949167,75.6739761,42.28944247,3.455108359,38.77083628,14.23210337,19.05998337,23.75803801,39.82824705,94.95675478,13.10627422,180774.7369,189562.6144,129446.9551
2009,I,I,27.52,55.84,92.68,98.7,92.68,93.85,64.46,43.28,50.78,90.73,62.33,53.04,107.94,87.9,9.13,4.91,41.58,35.03,40.1,21.12,31.63,59.9,67.86,30.32022984,62.39452466,13.40176667,40.70924423,18.66025283,9.199845381,4.530941879,91.3727111,46.98069422,21.3515374,43.03919111,18.85927869,32.92601844,16.62743266,41.90228624,91.57429065,13.46475229,191513.4301,223958.3449,187628.0396
1990,I,II,31.52,49.33,71.82,95.68,92.97,72.31,56.92,56.35,23.62,88.84,71.36,34.33,103.1,113.28,9.66,1.29,75.56,33.98,48.64,12.49,42.56,51.36,88.44,,79.89264821,11.55279503,39.26140967,24.29651634,5.72373751,4.749262537,66.68574154,42.78835535,6.171885066,,,,,,,,87367.13364,89030.71515,50053.53564
1992,I,II,22.8,43.35,88.65,98.75,91.67,91.4,64.35,51.78,24.96,89.81,67.26,35.9,101.16,76.52,9.15,2.64,66.91,29.46,49.98,4.48,47.74,50.02,85.55,68.6562942,80.01522456,11.26339106,38.11806158,18.4644481,8.457582549,4.526355907,73.39159511,74.2431089,4.34298441,,,,,,,,122905.5532,124539.4932,70757.32766
1994,I,II,21.01,61.09,90.41,95.85,91.01,91.1,59.2,57.89,20.59,96.24,70.46,24.32,109.24,93.01,9.89,3.3,63.78,35.02,48.58,7.31,45.03,51.42,81.23,77.57193867,80.53743328,12.00683156,42.16152457,16.51860862,6.864732697,4.285781991,56.19852506,57.14498695,3.33707235,,,,,,,,145751.3503,147509.4432,99762.07875
1996,I,II,21.26,59.17,95.16,99.27,95.16,95.35,64.4,51.75,28.15,94.4,72.54,31.09,114.97,110.9,9.87,1.72,63.68,36,49.36,5.41,46.69,50.64,80.29,68.71569704,79.64481514,11.78776886,38.94079855,23.53278859,7.021850915,4.430357143,59.92258169,64.03031984,5.095334686,,,,9.033480733,,,3.791615704,183912.9393,188428.1531,110796.8735
1998,I,II,19.2,65.33,90.94,99.51,90.94,93.51,60.24,61.17,16.31,82.29,75.02,43.91,87.23,97.91,9.46,2.1,60.74,34.32,52.89,9.73,47.75,47.11,76.68,62.39006725,85.7456712,10.30149608,42.277869,18.75228061,5.025314724,4.250690708,56.26694473,70.81783806,5.699053912,,,,,,,,218135.6999,221738.8256,143356.4633
2000,I,II,26.47,45.63,91.18,99.17,91.18,92.48,73.56,43.48,31.26,92.21,70.53,39.15,103.82,101.37,9.74,2.81,54.64,29.75,58.78,13.55,50.81,41.22,73.54,62.66926888,70.99165894,9.470709203,33.11669031,21.79406816,11.80319576,4.495180187,71.78985263,52.72155023,7.454625941,13.73271484,1.495106311,4.531443357,17.57115536,30.34216122,47.08205912,7.636404545,229904.7202,235826.4006,117033.7825
2003,I,II,20.55,56.36,91.44,98.23,91.44,93.51,72.82,42.49,36.36,96.33,73.09,40.65,107.35,99.83,10.06,2.51,44.71,33.06,56.01,15.59,47.27,43.99,69.47,59.70409308,69.25977011,9.12383258,36.07609263,22.43020086,8.351293634,4.67766883,79.10405898,48.05684143,11.50336889,31.62124505,5.330167889,14.19741956,15.98349161,40.92778687,59.1303603,3.470970069,278119.2417,284614.0148,143699.2552
2006,I,II,16.73,45.51,96.3,99.6,96.3,97.31,70.43,36.77,44.59,90.02,78.75,50.05,112.66,103.63,9.77,2.39,32.45,32.3,44.91,7.77,41.42,55.09,77.5,50.81600349,68.14913603,8.925642428,33.43015309,20.21767359,11.37062603,4.289651129,83.5120783,50.14000542,8.13282679,47.55651404,12.82972373,23.98132722,11.61148133,38.68994596,91.54259401,11.17242815,316568.2488,321585.8459,170167.5962
