year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1990,I,H,22.54,57.67,78.91,96.27,92.77,79.79,54.70,65.94,26.63,93.32,70.34,11.92,33.79,105.34,108.00,15.32,10.31,1.67,40.98,62.17,73.18,8.31,67.10,26.82,89.52,,68.8,10.7,37.2,22.2,7.3,4.3,56.6, ,5.8,28.1,22.1,21.8,,,,,,,,218344,219782,117388
1992,I,H,18.52,54.54,89.91,98.07,91.66,91.15,53.87,68.43,27.60,87.74,66.43,17.19,20.78,102.45,86.80,17.14,10.21,1.48,34.03,64.76,75.80,3.78,72.94,24.20,88.84,69.1,73.2,10.2,36.7,19.1,8.2,4.1,53.1, ,5.8,27.1,21.9,21.4,,,,,,,,275464,276976,160531
1994,I,H,12.37,66.42,94.46,99.47,95.02,95.10,58.65,66.10,31.04,92.47,72.95,26.25,26.76,99.30,92.47,4.90,10.68,1.52,54.80,65.63,75.31,6.37,70.51,24.69,83.17,81.7,72.4,11.3,37.2,18.4,9.4,4.0,48.7, ,5.0,21.3,16.3,16.8,,,,,,,,323561,325448,195668
1996,I,H,19.98,68.49,92.77,98.80,92.77,95.35,57.18,68.07,33.06,92.80,62.40,25.70,18.41,102.50,70.92,14.17,10.84,0.52,28.57,66.81,75.00,4.91,71.32,25.00,84.96,66.9,67.0,11.9,38.9,21.4,5.8,4.2,47.5, ,4.6,20.9,16.1,16.3,,,,10.7,,,3.2,419899,422683,246129
1998,I,H,18.21,64.33,90.63,99.16,90.63,91.79,60.63,68.26,25.21,86.74,84.77,22.04,21.67,100.54,88.69,25.78,10.50,1.13,30.69,65.04,71.36,7.17,66.24,28.64,79.07,64.6,70.4,10.0,38.0,20.1,7.1,4.0,46.6, ,7.3,14.7,11.2,11.3,,,,,,,,486318,489270,290973
2000,I,H,20.14,63.81,91.04,99.08,91.04,92.54,67.36,60.22,31.44,92.43,69.24,16.07,15.50,107.13,71.04,6.03,10.70,1.32,25.34,61.82,75.05,9.99,67.55,24.95,78.20,64.7,68.0,10.8,33.0,21.7,9.5,4.3,58.3, ,10.0,20.8,14.7,15.9,25.3,8.7,16.9,14.3,37.9,56.2,6.9,569595,573974,294234
2003,I,H,14.63,67.90,91.06,97.86,91.06,93.55,63.19,59.39,31.67,94.08,70.78,33.34,16.70,98.95,66.68,7.02,10.93,1.79,19.21,65.70,74.71,7.58,69.05,25.29,76.81,64.2,69.1,9.4,33.7,21.2,7.0,4.2,63.9, ,10.0,16.5,12.1,12.0,40.0,12.9,29.5,13.6,48.8,61.8,2.8,582685,587118,300381
2006,I,H,14.99,66.60,96.12,99.47,96.12,96.81,59.11,59.46,43.43,94.95,78.76,23.97,16.57,103.49,82.08,11.70,10.83,1.08,4.67,67.86,71.22,8.35,65.27,28.78,84.24,62.1,63.6,9.0,31.4,20.7,10.7,4.0,64.1, ,5.1,11.5,7.8,7.3,53.6,20.3,33.9,14.0,52.3,92.8,11.4,583228,587171,309828
2009,I,H,12.76,69.38,95.82,98.54,95.82,96.61,57.56,60.34,40.08,93.48,62.26,23.87,17.51,106.98,55.17,11.72,10.83,1.51,3.75,70.94,71.69,3.82,68.94,28.31,90.62,51.8,63.0,9.5,34.1,17.7,8.9,3.8,73.2, ,17.0,15.7,9.9,10.5,62.1,35.3,46.7,13.8,53.2,93.5,7.8,717016,731056,423031
1990,II,H,25.67,58.05,68.28,98.90,80.70,78.53,52.24,67.68,14.26,90.45,67.27,14.92,14.57,100.74,56.91,11.39,9.93,2.12,11.62,57.24,75.46,7.05,70.14,24.54,90.48,,77.4,11.1,37.8,23.1,7.0,4.1,57.5, ,5.2,32.8,26.7,27.4,,,,,,,,189121,190364,112391
