year,region,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1990,I,R,24.61,14.05,26.68,65.73,40.09,79.40,43.42,47.38,20.15,91.82,43.55,1.43,29.05,100.55,56.55,1.43,7.70,5.41,72.33,52.84,64.39,3.45,62.17,35.61,78.79,,61.8,10.4,32.1,18.5,14.4,3.1,80.4,43.7,5.7,22.7,16.0,15.3,,,,,,,,111154,112036,54961
1992,I,R,31.79,13.58,39.40,85.76,41.06,94.04,44.70,53.97,15.92,86.75,51.67,2.75,26.75,100.00,66.67,2.75,7.54,4.42,43.82,51.02,54.13,3.68,52.14,45.87,86.08,46.2,69.1,12.6,36.7,17.3,11.8,3.4,76.1,64.0,3.8,35.2,28.5,26.2,,,,,,,,159964,161155,96858
1994,I,R,32.64,17.90,46.08,91.71,47.54,90.25,51.19,62.46,14.18,89.77,37.85,5.70,20.73,103.12,57.19,5.70,7.44,8.43,82.32,53.99,52.43,6.85,48.84,47.57,56.62,49.4,59.2,13.5,43.7,17.7,8.3,3.9,76.7,49.7,2.8,41.0,31.5,31.7,,,,,,,,157653,160084,112934
1996,I,R,38.96,9.37,21.45,78.36,21.45,96.14,61.62,57.10,8.52,92.15,45.58,9.57,12.49,103.91,59.82,12.70,6.36,16.18,80.29,54.19,59.38,3.20,57.48,40.62,68.92,29.1,39.0,11.5,41.5,16.9,11.9,4.0,79.0,48.8,3.4,38.4,28.7,28.2,,,,57.4,,,7.4,213013,219254,124535
1998,I,R,30.64,13.58,30.49,87.94,30.49,94.31,51.95,47.60,22.02,93.06,46.33,6.76,28.17,105.65,69.30,8.83,7.44,8.57,62.32,59.06,62.68,3.42,60.54,37.32,58.49,31.9,54.4,10.4,36.5,16.4,13.8,3.2,68.6,59.8,6.4,21.4,13.8,14.6,,,,,,,,272899,277505,166531
2000,I,R,28.87,19.67,44.69,91.20,44.69,95.79,52.58,51.11,24.35,93.75,52.55,4.89,26.95,108.73,70.26,6.81,7.68,10.34,57.87,57.37,65.06,3.71,62.64,34.94,65.28,34.7,52.0,9.9,33.8,16.8,15.6,3.3,72.5,48.8,6.6,27.3,19.6,19.4,8.4,0.8,3.2,44.7,21.4,32.4,12.3,304677,311885,183192
2003,I,R,26.21,21.04,43.22,89.15,43.22,96.12,49.05,50.73,28.46,95.25,66.67,7.00,33.49,104.34,88.52,8.51,7.80,9.88,68.43,61.12,62.15,5.59,58.68,37.85,55.38,34.8,54.2,8.2,32.8,16.4,15.9,3.3,87.3,49.6,6.4,23.4,15.4,15.5,15.0,0.6,3.6,50.4,24.7,43.8,3.9,268621,279310,177546
2006,I,R,20.63,21.13,50.81,92.09,50.81,97.76,63.32,45.70,48.45,90.55,58.42,9.13,55.25,104.95,81.11,14.14,7.90,9.03,41.39,63.45,58.39,3.81,56.16,41.61,72.47,29.2,37.2,9.0,30.1,16.0,18.7,3.0,84.6,46.1,5.0,12.9,8.1,7.4,30.6,1.0,5.6,50.7,20.2,83.5,11.4,347889,356507,205239
2009,I,R,14.18,27.07,56.50,93.86,56.50,96.75,60.18,48.43,47.08,96.45,77.17,21.56,52.63,104.99,104.41,35.01,8.31,8.98,35.78,73.73,52.79,5.64,49.81,47.21,83.93,26.1,44.8,6.8,26.0,13.1,26.6,2.8,87.9,40.5,20.2,8.2,5.9,5.7,42.6,7.2,16.7,46.2,26.0,76.3,10.1,494289,525377,337575
1990,II,R,35.11,29.87,32.79,79.87,34.32,82.06,35.20,49.77,16.14,84.83,28.35,0.00,25.10,95.08,34.02,0.00,6.73,11.75,60.14,44.49,63.30,4.89,60.20,36.70,77.54,,60.7,13.4,38.6,20.7,7.9,3.4,77.6,33.3,1.8,28.6,21.5,23.8,,,,,,,,102674,103825,61212
1992,II,R,28.61,21.14,36.57,77.36,40.30,85.93,45.77,43.28,16.50,81.96,35.62,2.94,23.30,92.78,52.05,2.94,7.04,13.04,48.88,44.01,56.08,3.78,53.96,43.92,90.97,49.2,65.9,12.5,35.9,17.5,11.5,3.3,59.7,43.2,3.9,30.5,22.6,24.6,,,,,,,,158140,159342,101949
1994,II,R,29.88,2.78,18.45,71.59,18.69,94.76,71.06,32.29,9.47,80.85,9.24,1.32,12.76,88.92,17.65,1.32,5.49,24.33,91.90,41.42,65.19,3.66,62.81,34.81,74.50,49.0,57.2,10.4,37.3,14.7,19.1,3.2,90.9,28.3,1.2,41.3,28.9,30.7,,,,,,,,120000,122661,70473
1996,II,R,33.30,23.55,45.37,79.50,45.37,96.86,42.60,49.20,16.99,84.98,44.11,10.78,26.73,98.43,59.51,14.34,7.74,10.98,58.85,52.82,58.04,4.94,55.17,41.96,75.00,46.6,65.1,11.3,37.5,19.0,11.1,3.9,62.8,53.7,10.3,22.8,17.8,19.8,,,,37.9,,,2.8,294685,298524,171794
1998,II,R,33.47,11.92,40.65,83.20,40.65,91.46,55.33,39.75,31.37,92.69,44.53,4.93,38.51,102.88,61.19,6.09,7.37,10.07,58.54,53.66,65.93,6.91,61.38,34.07,74.02,35.6,57.7,10.1,32.4,21.4,14.9,3.5,61.9,50.1,14.9,13.4,9.9,10.1,,,,,,,,305180,309939,186486
2000,II,R,23.96,17.72,50.33,77.37,50.33,98.94,53.51,36.35,29.59,90.25,39.46,3.28,36.69,104.88,74.70,4.07,7.51,8.88,50.07,54.16,63.35,6.20,59.42,36.65,71.38,37.8,46.8,9.1,30.2,20.3,15.1,3.1,74.2,44.5,10.4,12.5,8.6,9.6,10.8,0.7,3.9,49.5,20.1,37.2,3.8,312918,318308,194813
2003,II,R,22.18,14.67,54.35,80.93,54.35,98.34,57.90,38.49,25.88,90.51,61.81,13.16,34.32,101.13,75.66,15.74,7.81,8.55,47.53,56.74,63.70,5.79,60.01,36.30,79.00,41.6,50.7,9.5,32.9,18.4,16.3,3.5,78.9,44.6,12.8,7.1,4.9,5.5,25.7,2.7,8.5,55.7,34.1,42.5,5.5,450719,460618,239801
2006,II,R,22.55,29.57,71.04,93.85,71.04,99.70,66.27,36.08,33.14,93.68,68.76,13.46,37.80,103.25,99.61,16.53,8.44,10.30,50.24,61.85,61.47,4.22,58.87,38.53,87.94,59.0,65.4,9.9,34.0,20.3,14.2,3.8,79.6,46.9,4.9,4.4,3.9,3.9,51.0,5.6,20.3,53.6,36.2,76.0,5.1,741981,752618,320786
2009,II,R,14.12,34.79,67.84,94.12,67.84,98.05,69.04,35.28,31.44,89.76,73.53,17.97,42.96,106.09,93.19,22.05,9.20,7.05,40.84,63.02,57.61,7.22,53.45,42.39,83.03,49.1,58.7,7.3,29.1,19.5,14.7,3.6,81.7,49.4,6.3,7.8,6.1,6.8,57.9,13.0,25.6,54.4,33.9,88.7,5.4,764589,786829,419662
