Mes	Tipo de Afiliación	Afiliaciones	Afiliados mes anterior	Afiliados
2002-10	V	32548	0	32548
2002-11	V	7415	32548	39963
2002-12	V	4561	39963	44524
2003-01	V	7926	44524	52450
2003-02	V	2738	52450	55188
2003-03	V	2699	55188	57887
2003-04	V	99	57887	57986
2003-05	V	2226	57986	60212
2003-06	V	1898	60212	62110
2003-07	V	2800	62110	64910
2003-08	V	2738	64910	67648
2003-09	V	2151	67648	69799
2003-10	V	1947	69799	71746
2003-11	V	1187	71746	72933
2003-12	V	905	72933	73838
2004-01	V	1004	73838	74842
2004-02	V	1158	74842	76000
2004-03	V	1204	76000	77204
2004-04	V	1113	77204	78317
2004-05	V	1003	78317	79320
2004-06	V	957	79320	80277
2004-07	V	1103	80277	81380
2004-08	V	1429	81380	82809
2004-09	V	945	82809	83754
2004-10	V	984	83754	84738
2004-11	V	597	84738	85335
2004-12	V	595	85335	85930
2005-01	V	677	85930	86607
2005-02	V	618	86607	87225
2005-03	V	921	87225	88146
2005-04	V	832	88146	88978
2005-05	V	825	88978	89803
2005-06	V	882	89803	90685
2005-07	V	1066	90685	91751
2005-08	V	1355	91751	93106
2005-09	V	1058	93106	94164
2005-10	V	1142	94164	95306
2005-11	V	1035	95306	96341
2005-12	V	659	96341	97000
2006-01	V	790	97000	97790
2006-02	V	809	97790	98599
2006-03	V	1142	98599	99741
2006-04	V	899	99741	100640
2006-05	V	1024	100640	101664
2006-06	V	924	101664	102588
2006-07	V	1050	102588	103638
2006-08	V	1300	103638	104938
2006-09	V	775	104938	105713
2006-10	V	1003	105713	106716
2006-11	V	870	106716	107586
2006-12	V	524	107586	108110
2007-01	V	734	108110	108844
2007-02	V	716	108844	109560
2007-03	V	1052	109560	110612
2007-04	V	947	110612	111559
2007-05	V	1057	111559	112616
2007-06	V	1044	112616	113660
2007-07	V	900	113660	114560
2007-08	V	1147	114560	115707
2007-09	V	740	115707	116447
2007-10	V	1073	116447	117520
2007-11	V	1016	117520	118536
2007-12	V	652	118536	119188
2008-01	V	713	119188	119901
2008-02	V	733	119901	120634
2008-03	V	932	120634	121566
2008-04	V	957	121566	122523
2008-05	V	887	122523	123410
2008-06	V	952	123410	124362
2008-07	V	1449	124362	125811
2008-08	V	1022	125811	126833
2008-09	V	957	126833	127790
2008-10	V	1055	127790	128845
2008-11	V	814	128845	129659
2008-12	V	527	129659	130186
2009-01	V	909	130186	131095
2009-02	V	1422	131095	132517
2009-03	V	1498	132517	134015
2009-04	V	3783	134015	137798
2009-05	V	1231	137798	139029
2009-06	V	1917	139029	140946
2009-07	V	1186	140946	142132
2009-08	V	663	142132	142795
2009-09	V	916	142795	143711
2009-10	V	1007	143711	144718
2009-11	V	172	144718	144890
2009-12	V	513	144890	145403
2010-01	V	934	145403	146337
2010-02	V	968	146337	147305
2010-03	V	1274	147305	148579
2010-04	V	1079	148579	149658
2010-05	V	653	149658	150311
2010-06	V	803	150311	151114
2010-07	V	1010	151114	152124
2010-08	V	402	152124	152526
2010-09	V	862	152526	153388
2010-10	V	951	153388	154339
2010-11	V	421	154339	154760
2010-12	V	656	154760	155416
2011-01	V	676	155416	156092
2011-02	V	714	156092	156806
2011-03	V	698	156806	157504
2011-04	V	675	157504	158179
2011-05	V	368	158179	158547
2011-06	V	934	158547	159481
2011-07	V	733	159481	160214
2011-08	V	764	160214	160978
2011-09	V	589	160978	161567
2011-10	V	563	161567	162130
2011-11	V	590	162130	162720
2011-12	V	652	162720	163372
2002-10	O	200492	0	200492
2002-11	O	170145	200492	370637
2002-12	O	126164	370637	496801
2003-01	O	291528	496801	788329
2003-02	O	232591	788329	1020920
2003-03	O	198724	1020920	1219644
2003-04	O	117329	1219644	1336973
2003-05	O	97720	1336973	1434693
2003-06	O	100471	1434693	1535164
2003-07	O	110443	1535164	1645607
2003-08	O	109685	1645607	1755292
2003-09	O	83675	1755292	1838967
2003-10	O	99157	1838967	1938124
2003-11	O	108207	1938124	2046331
2003-12	O	100015	2046331	2146346
2004-01	O	107062	2146346	2253408
2004-02	O	95581	2253408	2348989
2004-03	O	91163	2348989	2440152
2004-04	O	67697	2440152	2507849
2004-05	O	76185	2507849	2584034
2004-06	O	73058	2584034	2657092
2004-07	O	70158	2657092	2727250
2004-08	O	67517	2727250	2794767
2004-09	O	68783	2794767	2863550
2004-10	O	74061	2863550	2937611
2004-11	O	92943	2937611	3030554
2004-12	O	89363	3030554	3119917
2005-01	O	97774	3119917	3217691
2005-02	O	76665	3217691	3294356
2005-03	O	77630	3294356	3371986
2005-04	O	67958	3371986	3439944
2005-05	O	59287	3439944	3499231
2005-06	O	57150	3499231	3556381
2005-07	O	58498	3556381	3614879
2005-08	O	56724	3614879	3671603
2005-09	O	54850	3671603	3726453
2005-10	O	61838	3726453	3788291
2005-11	O	72254	3788291	3860545
2005-12	O	81140	3860545	3941685
2006-01	O	85698	3941685	4027383
2006-02	O	64986	4027383	4092369
2006-03	O	70729	4092369	4163098
2006-04	O	59311	4163098	4222409
2006-05	O	51345	4222409	4273754
2006-06	O	45563	4273754	4319317
2006-07	O	47920	4319317	4367237
2006-08	O	47198	4367237	4414435
2006-09	O	44790	4414435	4459225
2006-10	O	50175	4459225	4509400
2006-11	O	59672	4509400	4569072
2006-12	O	70501	4569072	4639573
2007-01	O	80408	4639573	4719981
2007-02	O	65958	4719981	4785939
2007-03	O	71031	4785939	4856970
2007-04	O	53051	4856970	4910021
2007-05	O	48274	4910021	4958295
2007-06	O	45956	4958295	5004251
2007-07	O	48000	5004251	5052251
2007-08	O	44408	5052251	5096659
2007-09	O	43149	5096659	5139808
2007-10	O	50857	5139808	5190665
2007-11	O	60729	5190665	5251394
2007-12	O	69973	5251394	5321367
2008-01	O	75195	5321367	5396562
2008-02	O	60644	5396562	5457206
2008-03	O	59383	5457206	5516589
2008-04	O	48063	5516589	5564652
2008-05	O	40640	5564652	5605292
2008-06	O	16184	5605292	5621476
2008-07	O	28758	5621476	5650234
2008-08	O	40281	5650234	5690515
2008-09	O	44442	5690515	5734957
2008-10	O	24945	5734957	5759902
2008-11	O	50422	5759902	5810324
2008-12	O	57387	5810324	5867711
2009-01	O	59739	5867711	5927450
2009-02	O	42089	5927450	5969539
2009-03	O	49925	5969539	6019464
2009-04	O	73865	6019464	6093329
2009-05	O	30945	6093329	6124274
2009-06	O	30927	6124274	6155201
2009-07	O	29642	6155201	6184843
2009-08	O	22865	6184843	6207708
2009-09	O	3688	6207708	6211396
2009-10	O	47901	6211396	6259297
2009-11	O	9149	6259297	6268446
2009-12	O	35065	6268446	6303511
2010-01	O	12350	6303511	6315861
2010-02	O	95025	6315861	6410886
2010-03	O	28520	6410886	6439406
2010-04	O	56091	6439406	6495497
2010-05	O	34614	6495497	6530111
2010-06	O	19041	6530111	6549152
2010-07	O	48740	6549152	6597892
2010-08	O	19367	6597892	6617259
2010-09	O	40582	6617259	6657841
2010-10	O	34540	6657841	6692381
2010-11	O	40576	6692381	6732957
2010-12	O	54465	6732957	6787422
2011-01	O	49250	6787422	6836672
2011-02	O	46194	6836672	6882866
2011-03	O	45808	6882866	6928674
2011-04	O	39296	6928674	6967970
2011-05	O	27755	6967970	6995725
2011-06	O	53631	6995725	7049356
2011-07	O	24332	7049356	7073688
2011-08	O	28334	7073688	7102022
2011-09	O	26422	7102022	7128444
2011-10	O	32756	7128444	7161200
2011-11	O	50590	7161200	7211790
2011-12	O	52347	7211790	7264137
