month,fondo,rentabilidad_mensual,rentabilidad_ultimo_quarter,rentabilidad_ultimo_semonthtre,acumulado_del_year_en_curso,rentabilidad_de_los_ultimos_12_monthes,promedio_acumulado
2004-01,01,0.0151,0.0172,0.0098,0.0151,0.02,0.0168
2004-02,01,0.0088,0.0272,0.0184,0.0241,0.0227,0.0225
2004-03,01,0.0104,0.0348,0.0329,0.0348,0.0333,0.0286
2004-04,01,-0.0034,0.0159,0.0334,0.0313,0.0376,0.0247
2004-05,01,0.0073,0.0144,0.042,0.0388,0.0464,0.0281
2004-06,01,-0.0066,-0.0028,0.0319,0.0319,0.035,0.0226
2004-07,01,0.0133,0.0139,0.0301,0.0456,0.0401,0.0292
2004-08,01,0.0039,0.0105,0.0251,0.0497,0.0439,0.03
2004-09,01,-0.0072,0.01,0.0072,0.0422,0.0403,0.0249
2004-10,01,0.0061,0.0028,0.0168,0.0486,0.0507,0.0269
2004-11,01,-0.0057,-0.0069,0.0036,0.0425,0.0457,0.023
2004-12,01,-0.0073,-0.007,0.0029,0.0349,0.0349,0.0187
2005-01,01,0.0087,-0.0044,-0.0016,0.0087,0.0284,0.0219
2005-02,01,0.0072,0.0085,0.0016,0.016,0.0267,0.0243
2005-03,01,0.0051,0.0211,0.014,0.0211,0.0212,0.0256
2005-04,01,0.0077,0.02,0.0155,0.0289,0.0325,0.0278
2005-05,01,-0.003,0.0097,0.0183,0.0258,0.0219,0.0257
2005-06,01,0.0053,0.0099,0.0313,0.0313,0.0343,0.0269
2005-07,01,6e-04,0.0028,0.0229,0.0318,0.0212,0.0263
2005-08,01,0.0053,0.0112,0.0209,0.0373,0.0226,0.0274
2005-09,01,-0.0041,0.0017,0.0116,0.033,0.0257,0.0252
2005-10,01,-0.0261,-0.025,-0.0222,0.0061,-0.0071,0.0155
2005-11,01,-0.0089,-0.0387,-0.028,-0.0029,-0.0102,0.0122
2005-12,01,0.0051,-0.0299,-0.0282,0.0021,0.0021,0.0134
2006-01,01,0.0183,0.0143,-0.011,0.0183,0.0116,0.0187
2006-02,01,0.0031,0.0266,-0.0131,0.0215,0.0075,0.0192
2006-03,01,0.0029,0.0245,-0.0061,0.0245,0.0054,0.0196
2006-04,01,0.0013,0.0074,0.0218,0.0258,-9e-04,0.0196
2006-05,01,-0.0024,0.0019,0.0286,0.0234,-2e-04,0.0184
2006-06,01,2e-04,-8e-04,0.0236,0.0236,-0.0053,0.0181
2006-07,01,0.01,0.0078,0.0153,0.0339,0.0041,0.0203
2006-08,01,0.0052,0.0154,0.0174,0.0392,0.004,0.0213
2006-09,01,0.0033,0.0185,0.0177,0.0426,0.0115,0.0217
2006-10,01,0.0118,0.0204,0.0283,0.0549,0.0508,0.0242
2006-11,01,0.0097,0.0249,0.0407,0.0651,0.0705,0.0261
2006-12,01,0.0043,0.026,0.045,0.0697,0.0697,0.0266
2007-01,01,0.0019,0.016,0.0366,0.0019,0.0525,0.0265
2007-02,01,0.0044,0.0106,0.0358,0.0063,0.0538,0.0271
2007-03,01,0.0087,0.0151,0.0415,0.0151,0.0599,0.0286
2007-04,01,0.0037,0.0168,0.0331,0.0188,0.0623,0.0289
2007-05,01,-0.0131,-8e-04,0.0098,0.0055,0.0509,0.0254
2007-06,01,-0.0039,-0.0134,0.0015,0.0015,0.0465,0.0241
2007-07,01,0.0063,-0.0108,0.0059,0.0078,0.0427,0.025
2007-08,01,0.0036,0.0059,0.0051,0.0114,0.0411,0.0253
