month,solicitudes_de_prestaciones_por_cesantia_efectivamente_pagadas,afiliados_que_recibieron_pago_de_la_prestacion_por_cesantia,numero_de_nuevos_afiliados_en_el_month,remuneracion_imponible_promedio
2002-10,0,0,62387,0
2002-11,0,0,170653,110292
2002-12,0,0,177560,157156
2003-01,0,0,130725,214096
2003-02,0,0,299454,200358
2003-03,0,0,235329,198043
2003-04,0,0,201423,208509
2003-05,194,194,117428,219966
2003-06,8204,8204,99946,220472
2003-07,10809,10809,102369,232844
2003-08,12570,12570,113243,236635
2003-09,16207,16207,112423,241549
2003-10,18046,18046,85826,233450
2003-11,15112,15112,101104,222567
2003-12,19084,19084,109394,231811
2004-01,32493,32567,100920,221135
2004-02,28724,28724,108066,230703
2004-03,26304,26477,96739,221036
2004-04,33847,34296,92367,225921
2004-05,40216,40829,68810,236754
2004-06,47565,48379,77188,242788
2004-07,40137,41293,74015,244655
2004-08,39346,41186,71261,248716
2004-09,44846,47569,68946,261169
2004-10,34168,35197,69728,250427
2004-11,30440,34324,75045,250440
2004-12,40176,44690,93540,265392
2005-01,51969,56943,89958,256243
2005-02,47253,52481,98451,255577
2005-03,39859,45747,77283,258330
2005-04,52511,55872,78551,261007
2005-05,61017,68702,68790,267734
2005-06,71118,78686,60112,270459
2005-07,54086,59123,58032,274902
2005-08,50240,59563,59564,277615
2005-09,58874,68670,58079,288745
2005-10,52238,63507,55908,279798
2005-11,48553,59531,62980,276114
2005-12,52989,65008,73289,294264
2006-01,66419,78569,81799,281497
2006-02,65525,77841,86488,278848
2006-03,57222,71215,65795,281105
2006-04,65388,76260,71871,289223
2006-05,73394,91076,60210,295655
2006-06,84370,102605,52369,298253
2006-07,68197,88022,46487,299881
2006-08,67797,87713,48970,302208
2006-09,67225,81018,48498,317208
2006-10,67680,88316,45565,307911
2006-11,63478,84098,51178,303707
2006-12,61440,76536,60542,322970
2007-01,81360,103878,71025,307650
2007-02,84548,108063,81142,305818
2007-03,70140,98715,66674,309226
2007-04,76039,105495,72083,313392
2007-05,73449,103422,53998,320925
2007-06,102624,124636,49331,322061
2007-07,67583,98899,47000,327762
2007-08,54780,83142,48900,335851
2007-09,52843,71122,45555,355142
2007-10,73232,95702,43889,336318
2007-11,60464,84692,51930,335986
2007-12,59751,85455,61745,363107
2008-01,69113,94925,70625,346426
2008-02,90011,114090,75908,345153
2008-03,63423,90985,61377,350836
2008-04,77695,105498,60315,351512
2008-05,81142,113911,49020,361611
2008-06,98520,134629,41527,357863
2008-07,80121,116898,17136,371393
2008-08,78267,105392,30207,376863
2008-09,77395,116213,41303,398366
2008-10,77311,113687,45399,378073
2008-11,68605,95284,26000,380768
2008-12,74127,113326,51236,410302
2009-01,90873,130803,57914,388562
2009-02,102653,134493,60648,384854
2009-03,84410,133873,43511,388547
2009-04,104724,153324,51423,411542
2009-05,104090,146130,77648,444497
2009-06,116676,177371,32176,402890
2009-07,88094,161661,32844,411101
2009-08,86327,157523,30828,415015
2009-09,79930,151579,23528,435245
2009-10,75056,146719,4604,408363
2009-11,67285,136988,48908,410338
2009-12,68457,129977,9321,445034
2010-01,73681,105619,35578,428725
2010-02,82786,141415,13284,423478
2010-03,67893,124848,95993,426147
2010-04,86836,133490,29794,434188
2010-05,84438,148776,57170,436458
2010-06,58087,109379,35267,437535
2010-07,71639,138475,19844,441103
2010-08,86200,164824,49750,442816
2010-09,79481,146776,19769,474463
2010-10,71351,107848,41444,447190
2010-11,79100,140763,35491,444412
2010-12,70147,123696,40997,483929
2011-01,81125,133651,55121,459466
2011-02,91251,144507,49926,457084
2011-03,79606,135932,46908,463711
2011-04,91393,129339,46506,466595
2011-05,91665,155601,39971,476273
2011-06,101881,162667,28123,478624
2011-07,79718,121872,54565,488588
2011-08,86273,147459,25065,495712
2011-09,81423,137250,29098,525267
2011-10,73728,112741,27011,496939
2011-11,81902,138319,33319,
