month,solicitudes_de_prestaciones_por_cesantia_efectivamente_pagadas,afiliados_que_recibieron_pago_de_la_prestacion_por_cesantia,numero_de_nuevos_afiliados_en_el_month,remuneracion_imponible_promedio,tasa_de_desempleo_nene,tasa_de_desempleo_ene,tasa_de_desempleo_promedio_ult_4_years,tasa_desempleo_de_activacion
2002-10,0,0,62387,0,,,,
2002-11,0,0,170653,110292,,,,
2002-12,0,0,177560,157156,,,,
2003-01,0,0,130725,214096,,,,
2003-02,0,0,299454,200358,,,,
2003-03,0,0,235329,198043,,,,
2003-04,0,0,201423,208509,,,,
2003-05,194,194,117428,219966,,,,
2003-06,8204,8204,99946,220472,,,,
2003-07,10809,10809,102369,232844,,,,
2003-08,12570,12570,113243,236635,,,,
2003-09,16207,16207,112423,241549,,,,
2003-10,18046,18046,85826,233450,,,,
2003-11,15112,15112,101104,222567,,,,
2003-12,19084,19084,109394,231811,,,,
2004-01,32493,32567,100920,221135,,,,
2004-02,28724,28724,108066,230703,,,,
2004-03,26304,26477,96739,221036,,,,
2004-04,33847,34296,92367,225921,,,,
2004-05,40216,40829,68810,236754,,,,
2004-06,47565,48379,77188,242788,,,,
2004-07,40137,41293,74015,244655,,,,
2004-08,39346,41186,71261,248716,,,,
2004-09,44846,47569,68946,261169,,,,
2004-10,34168,35197,69728,250427,,,,
2004-11,30440,34324,75045,250440,,,,
2004-12,40176,44690,93540,265392,,,,
2005-01,51969,56943,89958,256243,,,,
2005-02,47253,52481,98451,255577,,,,
2005-03,39859,45747,77283,258330,,,,
2005-04,52511,55872,78551,261007,,,,
2005-05,61017,68702,68790,267734,,8.2,,
2005-06,71118,78686,60112,270459,,8.3,,
2005-07,54086,59123,58032,274902,,8.7,,
2005-08,50240,59563,59564,277615,,8.6,,
2005-09,58874,68670,58079,288745,,8.7,,
2005-10,52238,63507,55908,279798,,8.5,,
2005-11,48553,59531,62980,276114,,8.1,,
2005-12,52989,65008,73289,294264,,7.6,,
2006-01,66419,78569,81799,281497,,6.9,,
2006-02,65525,77841,86488,278848,,7,,
2006-03,57222,71215,65795,281105,,7.3,,
2006-04,65388,76260,71871,289223,,7.9,,
2006-05,73394,91076,60210,295655,,8.3,,
2006-06,84370,102605,52369,298253,,8.7,,
2006-07,68197,88022,46487,299881,,8.9,,
2006-08,67797,87713,48970,302208,,8.79,,
2006-09,67225,81018,48498,317208,,8.54,,
2006-10,67680,88316,45565,307911,,7.93,,
2006-11,63478,84098,51178,303707,,7.35,,
2006-12,61440,76536,60542,322970,,6.64,,
2007-01,81360,103878,71025,307650,,6.01,,
2007-02,84548,108063,81142,305818,,6.07,,
2007-03,70140,98715,66674,309226,,6.36,,
2007-04,76039,105495,72083,313392,,6.73,,
2007-05,73449,103422,53998,320925,,6.84,,
2007-06,102624,124636,49331,322061,,6.74,,
2007-07,67583,98899,47000,327762,,6.87,,
2007-08,54780,83142,48900,335851,,7.04,,
2007-09,52843,71122,45555,355142,,7.63,,
2007-10,73232,95702,43889,336318,,7.72,,
2007-11,60464,84692,51930,335986,,7.73,,
2007-12,59751,85455,61745,363107,,7.33,,
2008-01,69113,94925,70625,346426,,7.22,,
2008-02,90011,114090,75908,345153,,7.2,,
