month,afiliacion,numero_de_nuevos_afiliados_en_el_month
2002-10,01,16999
2002-11,01,15549
2002-12,01,7415
2003-01,01,4561
2003-02,01,7926
2003-03,01,2738
2003-04,01,2699
2003-05,01,99
2003-06,01,2226
2003-07,01,1898
2003-08,01,2800
2003-09,01,2738
2003-10,01,2151
2003-11,01,1947
2003-12,01,1187
2004-01,01,905
2004-02,01,1004
2004-03,01,1158
2004-04,01,1204
2004-05,01,1113
2004-06,01,1003
2004-07,01,957
2004-08,01,1103
2004-09,01,1429
2004-10,01,945
2004-11,01,984
2004-12,01,597
2005-01,01,595
2005-02,01,677
2005-03,01,618
2005-04,01,921
2005-05,01,832
2005-06,01,825
2005-07,01,882
2005-08,01,1066
2005-09,01,1355
2005-10,01,1058
2005-11,01,1142
2005-12,01,1035
2006-01,01,659
2006-02,01,790
2006-03,01,809
2006-04,01,1142
2006-05,01,899
2006-06,01,1024
2006-07,01,924
2006-08,01,1050
2006-09,01,1300
2006-10,01,775
2006-11,01,1003
2006-12,01,870
2007-01,01,524
2007-02,01,734
2007-03,01,716
2007-04,01,1052
2007-05,01,947
2007-06,01,1057
2007-07,01,1044
2007-08,01,900
2007-09,01,1147
2007-10,01,740
2007-11,01,1073
2007-12,01,1016
2008-01,01,652
2008-02,01,713
2008-03,01,733
2008-04,01,932
2008-05,01,957
2008-06,01,887
2008-07,01,952
2008-08,01,1449
2008-09,01,1022
2008-10,01,957
2008-11,01,1055
2008-12,01,814
2009-01,01,527
2009-02,01,909
2009-03,01,1422
2009-04,01,1498
2009-05,01,3783
2009-06,01,1231
2009-07,01,1917
2009-08,01,1186
2009-09,01,663
2009-10,01,916
2009-11,01,1007
2009-12,01,172
2010-01,01,513
2010-02,01,934
2010-03,01,968
2010-04,01,1274
2010-05,01,1079
2010-06,01,653
2010-07,01,803
2010-08,01,1010
2010-09,01,402
2010-10,01,862
2010-11,01,951
2010-12,01,421
2011-01,01,656
2011-02,01,676
2011-03,01,714
2011-04,01,698
2011-05,01,675
2011-06,01,368
2011-07,01,934
2011-08,01,733
2011-09,01,764
2011-10,01,589
2011-11,01,563
2002-10,02,45388
2002-11,02,155104
2002-12,02,170145
2003-01,02,126164
2003-02,02,291528
2003-03,02,232591
2003-04,02,198724
2003-05,02,117329
2003-06,02,97720
2003-07,02,100471
2003-08,02,110443
2003-09,02,109685
2003-10,02,83675
2003-11,02,99157
2003-12,02,108207
2004-01,02,100015
2004-02,02,107062
2004-03,02,95581
2004-04,02,91163
2004-05,02,67697
2004-06,02,76185
2004-07,02,73058
2004-08,02,70158
2004-09,02,67517
2004-10,02,68783
2004-11,02,74061
2004-12,02,92943
2005-01,02,89363
2005-02,02,97774
2005-03,02,76665
2005-04,02,77630
2005-05,02,67958
2005-06,02,59287
2005-07,02,57150
2005-08,02,58498
2005-09,02,56724
2005-10,02,54850
2005-11,02,61838
2005-12,02,72254
2006-01,02,81140
2006-02,02,85698
2006-03,02,64986
2006-04,02,70729
2006-05,02,59311
2006-06,02,51345
2006-07,02,45563
2006-08,02,47920
2006-09,02,47198
2006-10,02,44790
2006-11,02,50175
2006-12,02,59672
2007-01,02,70501
2007-02,02,80408
2007-03,02,65958
2007-04,02,71031
2007-05,02,53051
2007-06,02,48274
2007-07,02,45956
2007-08,02,48000
2007-09,02,44408
2007-10,02,43149
2007-11,02,50857
2007-12,02,60729
2008-01,02,69973
2008-02,02,75195
2008-03,02,60644
2008-04,02,59383
2008-05,02,48063
2008-06,02,40640
2008-07,02,16184
2008-08,02,28758
2008-09,02,40281
2008-10,02,44442
2008-11,02,24945
2008-12,02,50422
2009-01,02,57387
2009-02,02,59739
2009-03,02,42089
2009-04,02,49925
2009-05,02,73865
2009-06,02,30945
2009-07,02,30927
2009-08,02,29642
2009-09,02,22865
2009-10,02,3688
2009-11,02,47901
2009-12,02,9149
2010-01,02,35065
2010-02,02,12350
2010-03,02,95025
2010-04,02,28520
2010-05,02,56091
2010-06,02,34614
2010-07,02,19041
2010-08,02,48740
2010-09,02,19367
2010-10,02,40582
2010-11,02,34540
2010-12,02,40576
2011-01,02,54465
2011-02,02,49250
2011-03,02,46194
2011-04,02,45808
2011-05,02,39296
2011-06,02,27755
2011-07,02,53631
2011-08,02,24332
2011-09,02,28334
2011-10,02,26422
2011-11,02,32756
