month,contrato,solicitudes_de_prestaciones_por_cesantia_efectivamente_pagadas,afiliados_que_recibieron_pago_de_la_prestacion_por_cesantia,remuneracion_imponible_promedio
2002-10,01,0,0,0
2002-11,01,0,0,170103
2002-12,01,0,0,241969
2003-01,01,0,0,305256
2003-02,01,0,0,274998
2003-03,01,0,0,268157
2003-04,01,0,0,277595
2003-05,01,0,0,284285
2003-06,01,5,5,285659
2003-07,01,3,3,298536
2003-08,01,3,3,300499
2003-09,01,7,7,307322
2003-10,01,6,6,301592
2003-11,01,76,76,287338
2003-12,01,380,380,303379
2004-01,01,577,651,298708
2004-02,01,770,770,288405
2004-03,01,1246,1419,272484
2004-04,01,2215,2664,279198
2004-05,01,3099,3712,282644
2004-06,01,3907,4721,288543
2004-07,01,4397,5553,289162
2004-08,01,5175,7015,294823
2004-09,01,5728,8451,311673
2004-10,01,4742,5771,299717
2004-11,01,6539,10423,303539
2004-12,01,6795,11309,326356
2005-01,01,6724,11698,313776
2005-02,01,7605,12833,308485
2005-03,01,8365,14253,309694
2005-04,01,9672,13033,312062
2005-05,01,10849,18534,312069
2005-06,01,11138,18706,314937
2005-07,01,9510,14547,319123
2005-08,01,12286,21609,322100
2005-09,01,12631,22427,336480
2005-10,01,11270,22539,327372
2005-11,01,12529,23507,327826
2005-12,01,12169,24188,355854
2006-01,01,11771,23921,340217
2006-02,01,13956,26272,331721
2006-03,01,14868,28861,332150
2006-04,01,15988,26860,341056
2006-05,01,18356,36038,343350
2006-06,01,17957,36192,345679
2006-07,01,16913,36738,346805
2006-08,01,17172,37088,350558
2006-09,01,14884,28677,368022
2006-10,01,19025,39661,360262
2006-11,01,18335,38955,360071
2006-12,01,15837,30933,387348
2007-01,01,21295,43813,370276
2007-02,01,24962,48477,365202
2007-03,01,22206,50781,367456
2007-04,01,23597,53053,368815
2007-05,01,21012,50985,373685
2007-06,01,23414,45426,374483
2007-07,01,20922,52238,378465
2007-08,01,17077,45439,387816
2007-09,01,14745,33024,407207
2007-10,01,22342,44812,389263
2007-11,01,20447,44675,393919
2007-12,01,20763,46467,430256
2008-01,01,18197,44009,411478
2008-02,01,24559,48638,407763
2008-03,01,22240,49802,411418
2008-04,01,29136,56939,411651
2008-05,01,28386,61154,418315
2008-06,01,27998,64106,413321
2008-07,01,26493,63269,426627
2008-08,01,24830,51955,432728
2008-09,01,27695,66512,456922
2008-10,01,24893,61268,437024
2008-11,01,24515,51193,444612
2008-12,01,31149,70346,481528
2009-01,01,29635,69561,457077
2009-02,01,32100,63940,449603
2009-03,01,34809,84269,462451
2009-04,01,40471,89066,484058
2009-05,01,33037,75073,524378
2009-06,01,39097,95324,461517
2009-07,01,31762,90223,471149
2009-08,01,31636,88252,476267
2009-09,01,29580,85312,499295
2009-10,01,27623,82855,470493
2009-11,01,27268,80878,476332
2009-12,01,27180,77594,527141
2010-01,01,22333,45666,516110
2010-02,01,29083,77070,510571
2010-03,01,28328,74030,503477
2010-04,01,35862,72886,509565
2010-05,01,33755,85080,511378
2010-06,01,23948,66553,510391
2010-07,01,28359,77890,514908
2010-08,01,31288,88158,517492
2010-09,01,30062,79265,555976
2010-10,01,22384,49320,524535
2010-11,01,31698,80420,528178
2010-12,01,27735,71634,583361
2011-01,01,26832,69757,554601
2011-02,01,29284,70723,547893
2011-03,01,30033,73518,552302
2011-04,01,34103,62342,551689
2011-05,01,37479,87821,558151
2011-06,01,32286,80965,560271
2011-07,01,25829,57426,568129
2011-08,01,34062,83049,577061
2011-09,01,30218,75231,611402
2011-10,01,23635,52753,578983
2011-11,01,32877,78098,
2002-10,02,0,0,0
2002-11,02,0,0,98475
2002-12,02,0,0,139773
2003-01,02,0,0,184562
2003-02,02,0,0,176862
2003-03,02,0,0,176399
2003-04,02,0,0,184537
2003-05,02,194,194,193300
2003-06,02,8199,8199,192682
2003-07,02,10806,10806,203214
2003-08,02,12567,12567,206052
2003-09,02,16200,16200,208630
2003-10,02,18040,18040,200273
2003-11,02,15036,15036,197629
2003-12,02,18704,18704,204705
2004-01,02,31916,31916,185453
2004-02,02,27954,27954,193857
2004-03,02,25058,25058,188071
2004-04,02,31632,31632,189835
2004-05,02,37117,37117,198884
2004-06,02,43658,43658,203576
2004-07,02,35740,35740,204146
2004-08,02,34171,34171,205546
2004-09,02,39118,39118,212672
2004-10,02,29426,29426,204720
2004-11,02,23901,23901,203407
2004-12,02,33381,33381,212545
2005-01,02,45245,45245,204932
2005-02,02,39648,39648,207812
2005-03,02,31494,31494,210797
2005-04,02,42839,42839,211527
2005-05,02,50168,50168,220796
2005-06,02,59980,59980,222340
2005-07,02,44576,44576,226900
2005-08,02,37954,37954,228761
2005-09,02,46243,46243,235233
2005-10,02,40968,40968,228045
2005-11,02,36024,36024,222647
2005-12,02,40820,40820,232477
2006-01,02,54648,54648,221358
2006-02,02,51569,51569,224205
2006-03,02,42354,42354,227307
2006-04,02,49400,49400,231622
2006-05,02,55038,55038,239661
2006-06,02,66413,66413,241413
2006-07,02,51284,51284,242959
2006-08,02,50625,50625,242856
2006-09,02,52341,52341,253295
2006-10,02,48655,48655,243971
2006-11,02,45143,45143,238437
2006-12,02,45603,45603,250526
2007-01,02,60065,60065,236939
2007-02,02,59586,59586,238563
2007-03,02,47934,47934,242762
2007-04,02,52442,52442,247188
2007-05,02,52437,52437,254845
2007-06,02,79210,79210,255526
2007-07,02,46661,46661,262762
2007-08,02,37703,37703,268821
2007-09,02,38098,38098,285196
2007-10,02,50890,50890,268084
2007-11,02,40017,40017,264893
2007-12,02,38988,38988,283307
2008-01,02,50916,50916,268586
2008-02,02,65452,65452,269547
2008-03,02,41183,41183,276358
2008-04,02,48559,48559,275590
2008-05,02,52756,52757,286437
2008-06,02,70522,70523,283638
2008-07,02,53628,53629,297211
2008-08,02,53437,53437,300944
2008-09,02,49700,49701,317329
2008-10,02,52418,52419,299107
2008-11,02,44090,44091,297922
2008-12,02,42978,42980,319213
2009-01,02,61238,61242,299837
2009-02,02,70553,70553,300238
2009-03,02,49601,49604,301030
2009-04,02,64253,64258,278084
2009-05,02,71053,71057,295370
2009-06,02,77579,82047,280585
2009-07,02,56332,71438,284773
2009-08,02,54691,69271,285216
2009-09,02,50350,66267,296510
2009-10,02,47433,63864,281927
2009-11,02,40017,56110,283202
2009-12,02,41277,52383,297228
2010-01,02,51348,59953,280256
2010-02,02,53703,64345,282209
2010-03,02,39565,50818,288786
2010-04,02,50974,60604,297678
2010-05,02,50683,63696,298419
2010-06,02,34139,42826,299754
2010-07,02,43280,60585,302488
2010-08,02,54912,76666,302959
2010-09,02,49419,67511,319548
2010-10,02,48967,58528,304204
2010-11,02,47402,60343,298599
2010-12,02,42412,52062,317685
2011-01,02,54293,63894,297498
2011-02,02,61967,73784,302052
2011-03,02,49573,62414,310137
2011-04,02,57290,66997,312269
2011-05,02,54186,67780,321078
2011-06,02,69595,81702,321058
2011-07,02,53889,64446,331416
2011-08,02,52211,64410,334815
2011-09,02,51205,62019,350338
2011-10,02,50093,59988,335238
2011-11,02,49025,60221,
