month,contrato,sexo,solicitudes_de_prestaciones_por_cesantia_efectivamente_pagadas,afiliados_que_recibieron_pago_de_la_prestacion_por_cesantia,remuneracion_imponible_promedio
2002-10,01,H,0,0,0
2002-11,01,H,0,0,163746
2002-12,01,H,0,0,236244
2003-01,01,H,0,0,298344
2003-02,01,H,0,0,269518
2003-03,01,H,0,0,264076
2003-04,01,H,0,0,338268
2003-05,01,H,0,0,350436
2003-06,01,H,4,4,319804
2003-07,01,H,3,3,338404
2003-08,01,H,2,2,338735
2003-09,01,H,5,5,341696
2003-10,01,H,5,5,337098
2003-11,01,H,58,58,321807
2003-12,01,H,262,262,325141
2004-01,01,H,398,440,320533
2004-02,01,H,593,593,309111
2004-03,01,H,878,976,289810
2004-04,01,H,1597,1864,296576
2004-05,01,H,2241,2606,300037
2004-06,01,H,2813,3303,306656
2004-07,01,H,3159,3877,307800
2004-08,01,H,3775,4933,315126
2004-09,01,H,4157,5891,332412
2004-10,01,H,3555,4366,319668
2004-11,01,H,4620,7208,322196
2004-12,01,H,4967,7945,346993
2005-01,01,H,4750,8152,333344
2005-02,01,H,5307,8800,328669
2005-03,01,H,5781,9710,330331
2005-04,01,H,6872,9268,333617
2005-05,01,H,7459,12635,333346
2005-06,01,H,7930,12952,336170
2005-07,01,H,6857,10562,339619
2005-08,01,H,8493,14726,342751
2005-09,01,H,9066,15631,358183
2005-10,01,H,8083,15863,349556
2005-11,01,H,8936,16523,349473
2005-12,01,H,8640,16847,378606
2006-01,01,H,8284,16583,361625
2006-02,01,H,9704,18047,352704
2006-03,01,H,9985,19444,353913
2006-04,01,H,10959,18520,364497
2006-05,01,H,12180,23797,367730
2006-06,01,H,12374,24229,369192
2006-07,01,H,11706,24822,370869
2006-08,01,H,11902,25101,375348
2006-09,01,H,10498,20401,393302
2006-10,01,H,12903,26614,386120
2006-11,01,H,12704,26552,383924
2006-12,01,H,11301,22167,410808
2007-01,01,H,14451,29501,393185
2007-02,01,H,16953,32670,388759
2007-03,01,H,14668,33782,392137
2007-04,01,H,15603,34856,393628
2007-05,01,H,14137,33494,400415
2007-06,01,H,16154,31153,400857
2007-07,01,H,13903,34650,406134
2007-08,01,H,11191,29898,415563
2007-09,01,H,9905,22371,437625
2007-10,01,H,15012,29341,419732
2007-11,01,H,13913,29732,425418
2007-12,01,H,13884,30805,462373
2008-01,01,H,12263,28848,443152
2008-02,01,H,16018,31336,440073
2008-03,01,H,14427,31640,445645
2008-04,01,H,18299,35418,447024
2008-05,01,H,19094,38974,452936
2008-06,01,H,18919,41690,447968
2008-07,01,H,17699,41257,462357
2008-08,01,H,17145,35166,470108
2008-09,01,H,18545,43734,495265
2008-10,01,H,16719,40306,473998
2008-11,01,H,16859,34989,482333
2008-12,01,H,21374,46961,521338
2009-01,01,H,20370,46852,495351
2009-02,01,H,21813,43687,485921
2009-03,01,H,22861,55445,498651
2009-04,01,H,26123,57752,521167
2009-05,01,H,22658,50323,562032
2009-06,01,H,25893,62343,494905
2009-07,01,H,21583,59134,504589
2009-08,01,H,21274,57486,509711
2009-09,01,H,19858,55286,534891
2009-10,01,H,18384,53154,504649
2009-11,01,H,18082,51635,510421
2009-12,01,H,18119,48935,564284
2010-01,01,H,14986,30403,553270
2010-02,01,H,18587,47671,547198
2010-03,01,H,17645,45093,538474
2010-04,01,H,21433,43668,545464
2010-05,01,H,22061,51333,546400
2010-06,01,H,15211,39664,544765
2010-07,01,H,18151,47114,550483
2010-08,01,H,20305,53631,552923
2010-09,01,H,19641,49054,595367
2010-10,01,H,15152,32647,561169
2010-11,01,H,20007,49732,566100
2010-12,01,H,17902,44451,622266
2011-01,01,H,17306,43191,592856
2011-02,01,H,18497,43234,585361
2011-03,01,H,18805,44603,591180
2011-04,01,H,21164,38808,592979
2011-05,01,H,23450,52915,597941
2011-06,01,H,20604,49623,599400
2011-07,01,H,17093,36785,609414
2011-08,01,H,22017,51405,619096
2011-09,01,H,19697,47072,659911
2011-10,01,H,15991,34455,624176
2011-11,01,H,21270,48746,
2002-10,01,M,0,0,0
2002-11,01,M,0,0,218758
2002-12,01,M,0,0,277331
2003-01,01,M,0,0,345040
2003-02,01,M,0,0,309093
2003-03,01,M,0,0,296047
2003-04,01,M,0,0,308113
2003-05,01,M,0,0,316199
2003-06,01,M,1,1,295812
2003-07,01,M,0,0,308104
2003-08,01,M,1,1,306058
2003-09,01,M,2,2,308863
2003-10,01,M,1,1,302379
2003-11,01,M,18,18,287851
2003-12,01,M,118,118,289441
2004-01,01,M,179,211,286875
2004-02,01,M,177,177,271968
2004-03,01,M,368,443,252184
2004-04,01,M,618,800,260154
2004-05,01,M,858,1106,260962
2004-06,01,M,1094,1418,264551
2004-07,01,M,1238,1676,265625
2004-08,01,M,1400,2082,270867
2004-09,01,M,1571,2560,287605
2004-10,01,M,1187,1405,273008
2004-11,01,M,1919,3215,273068
2004-12,01,M,1828,3364,297727
2005-01,01,M,1974,3546,288537
2005-02,01,M,2298,4033,279762
2005-03,01,M,2584,4543,280380
2005-04,01,M,2800,3765,282369
2005-05,01,M,3390,5899,283141
2005-06,01,M,3208,5754,285177
2005-07,01,M,2653,3985,286992
2005-08,01,M,3793,6883,290158
2005-09,01,M,3565,6796,303109
2005-10,01,M,3187,6676,293325
2005-11,01,M,3593,6984,292009
2005-12,01,M,3529,7341,320594
2006-01,01,M,3487,7338,305170
2006-02,01,M,4252,8225,298572
2006-03,01,M,4883,9417,297673
2006-04,01,M,5029,8340,303527
2006-05,01,M,6176,12241,305288
2006-06,01,M,5583,11963,309880
2006-07,01,M,5207,11916,310319
2006-08,01,M,5270,11987,313966
2006-09,01,M,4386,8276,328869
2006-10,01,M,6122,13047,318770
2006-11,01,M,5631,12403,317807
2006-12,01,M,4536,8766,348015
2007-01,01,M,6844,14312,331373
2007-02,01,M,8009,15807,325359
2007-03,01,M,7538,16999,325673
2007-04,01,M,7994,18197,326357
2007-05,01,M,6875,17491,328718
2007-06,01,M,7260,14273,330524
2007-07,01,M,7019,17588,333419
2007-08,01,M,5886,15541,343759
2007-09,01,M,4840,10653,361275
2007-10,01,M,7330,15471,342957
2007-11,01,M,6534,14943,345544
2007-12,01,M,6879,15662,383653
2008-01,01,M,5934,15161,365040
2008-02,01,M,8541,17302,360708
2008-03,01,M,7813,18162,363001
2008-04,01,M,10837,21521,362656
2008-05,01,M,9292,22180,371881
2008-06,01,M,9079,22416,367035
2008-07,01,M,8794,22012,379019
2008-08,01,M,7685,16789,384466
2008-09,01,M,9150,22778,406297
2008-10,01,M,8174,20962,386946
2008-11,01,M,7656,16204,392174
2008-12,01,M,9775,23385,429042
2009-01,01,M,9265,22709,406479
2009-02,01,M,10287,20253,399481
2009-03,01,M,11948,28824,413419
2009-04,01,M,14348,31314,432562
2009-05,01,M,10379,24750,468480
2009-06,01,M,13204,32981,415047
2009-07,01,M,10179,31089,420920
2009-08,01,M,10362,30766,426067
2009-09,01,M,9722,30026,445979
2009-10,01,M,9239,29701,420641
2009-11,01,M,9186,29243,425429
2009-12,01,M,9061,28659,472943
2010-01,01,M,7347,15263,460279
2010-02,01,M,10496,29399,455492
2010-03,01,M,10683,28937,447187
2010-04,01,M,14429,29218,449161
2010-05,01,M,11694,33747,452306
2010-06,01,M,8737,26889,452202
2010-07,01,M,10208,30776,454630
2010-08,01,M,10983,34527,458060
2010-09,01,M,10421,30211,490892
2010-10,01,M,7232,16673,462659
2010-11,01,M,11691,30688,464290
2010-12,01,M,9833,27183,518031
2011-01,01,M,9526,26566,490078
2011-02,01,M,10787,27489,484633
2011-03,01,M,11228,28915,487012
2011-04,01,M,12939,23534,483041
2011-05,01,M,14029,34906,491865
2011-06,01,M,11682,31342,496116
2011-07,01,M,8736,20641,499583
2011-08,01,M,12045,31644,507344
2011-09,01,M,10521,28159,531123
2011-10,01,M,7644,18298,504241
2011-11,01,M,11607,29352,
2002-10,01,NA,,,0
2002-11,01,NA,,,0
2002-12,01,NA,,,0
2003-01,01,NA,,,0
2003-02,01,NA,,,0
2003-03,01,NA,,,0
2003-04,01,NA,,,240320
2003-05,01,NA,,,246184
2003-06,01,NA,,,254652
2003-07,01,NA,,,251566
2003-08,01,NA,,,254544
2003-09,01,NA,,,260235
2003-10,01,NA,,,257887
2003-11,01,NA,,,249298
2003-12,01,NA,,,217080
2004-01,01,NA,,,234227
2004-02,01,NA,,,234976
2004-03,01,NA,,,210959
2004-04,01,NA,,,222312
2004-05,01,NA,,,224823
2004-06,01,NA,,,230608
2004-07,01,NA,,,227371
2004-08,01,NA,,,227989
2004-09,01,NA,,,246309
2004-10,01,NA,,,247843
2004-11,01,NA,,,253074
2004-12,01,NA,,,258151
2005-01,01,NA,,,242313
2005-02,01,NA,,,232675
2005-03,01,NA,,,240651
2005-04,01,NA,,,250269
2005-05,01,NA,,,245733
2005-06,01,NA,,,247482
2005-07,01,NA,,,246334
2005-08,01,NA,,,254799
2005-09,01,NA,,,266785
2005-10,01,NA,,,258791
2005-11,01,NA,,,266758
2005-12,01,NA,,,279190
2006-01,01,NA,,,289147
2006-02,01,NA,,,266951
2006-03,01,NA,,,273880
2006-04,01,NA,,,283130
2006-05,01,NA,,,286887
2006-06,01,NA,,,294027
2006-07,01,NA,,,285404
2006-08,01,NA,,,291164
2006-09,01,NA,,,307767
2006-10,01,NA,,,310084
2006-11,01,NA,,,349974
2006-12,01,NA,,,350823
2007-01,01,NA,,,340731
2007-02,01,NA,,,330524
2007-03,01,NA,,,339497
2007-04,01,NA,,,348090
2007-05,01,NA,,,347863
2007-06,01,NA,,,348821
2007-07,01,NA,,,342203
2007-08,01,NA,,,348359
2007-09,01,NA,,,350348
2007-10,01,NA,,,340078
2007-11,01,NA,,,293874
2007-12,01,NA,,,314667
2008-01,01,NA,,,315537
2008-02,01,NA,,,325371
2008-03,01,NA,,,331304
2008-04,01,NA,,,334722
2008-05,01,NA,,,338920
2008-06,01,NA,,,299475
2008-07,01,NA,,,309901
2008-08,01,NA,,,315827
2008-09,01,NA,,,330391
2008-10,01,NA,,,320005
2008-11,01,NA,,,327018
2008-12,01,NA,,,348499
2009-01,01,NA,,,335119
2009-02,01,NA,,,341363
2009-03,01,NA,,,353012
2009-04,01,NA,,,357921
2009-05,01,NA,,,428044
2009-06,01,NA,,,346493
2009-07,01,NA,,,374810
2009-08,01,NA,,,375588
2009-09,01,NA,,,390702
2009-10,01,NA,,,367073
2009-11,01,NA,,,375667
2009-12,01,NA,,,408414
2010-01,01,NA,,,412446
2010-02,01,NA,,,412156
2010-03,01,NA,,,418510
2010-04,01,NA,,,521285
2010-05,01,NA,,,511452
2010-06,01,NA,,,525673
2010-07,01,NA,,,538189
2010-08,01,NA,,,463561
2010-09,01,NA,,,457850
2010-10,01,NA,,,545564
2010-11,01,NA,,,567598
2010-12,01,NA,,,540757
2011-01,01,NA,,,563650
2011-02,01,NA,,,556321
2011-03,01,NA,,,574245
2011-04,01,NA,,,564870
2011-05,01,NA,,,588189
2011-06,01,NA,,,416401
2011-07,01,NA,,,676535
2011-08,01,NA,,,539972
2011-09,01,NA,,,662948
2011-10,01,NA,,,0
2002-10,02,H,0,0,0
2002-11,02,H,0,0,106488
2002-12,02,H,0,0,150828
2003-01,02,H,0,0,189309
2003-02,02,H,0,0,181546
2003-03,02,H,0,0,180831
2003-04,02,H,0,0,207851
2003-05,02,H,132,132,217118
2003-06,02,H,4808,4808,211500
2003-07,02,H,6973,6973,222697
2003-08,02,H,8726,8726,223704
2003-09,02,H,11273,11273,226585
2003-10,02,H,13922,13922,217814
2003-11,02,H,12687,12687,218697
2003-12,02,H,15668,15668,228284
2004-01,02,H,19284,19284,207633
2004-02,02,H,19070,19070,214779
2004-03,02,H,18862,18862,207612
2004-04,02,H,24257,24257,208059
2004-05,02,H,26420,26420,215836
